,Accession,Score,pVal (-log10),Rep1delta_SH,Rep2delta_SH,Rep1Group1_R2,Rep1Group2_R2,Rep1Group1_SH,Rep1Group2_SH,Rep1min_Slope,Rep2Group1_R2,Rep2Group2_R2,Rep2Group1_SH,Rep2Group2_SH,Rep2min_Slope
73,CAD,0.348,0.395,0.14,0.115,0.969,0.969,3.868,3.728,-1.175,0.891,0.966,3.861,3.745,-1.161
119,CNNM2,0.348,0.59,0.356,0.285,0.848,0.906,4.898,4.715,-0.289,0.953,0.935,4.737,5.004,-0.876
416,SLC4A2,0.346,0.362,0.285,0.156,0.986,0.991,5.123,4.853,-0.134,0.987,0.993,5.144,5.011,-0.136
137,DAG1,0.344,0.5,0.121,0.029,0.878,0.945,7.384,7.36,-0.045,0.89,0.874,7.513,7.484,-0.064
430,SPG20,0.344,0.384,0.392,0.124,0.992,0.954,3.449,3.84,-0.307,0.985,0.942,3.786,3.777,-0.29
213,HSPA5,0.342,0.391,0.359,0.115,0.992,0.942,5.756,6.115,-0.062,0.955,0.943,6.248,6.295,-0.047
105,CDK5,0.34,0.363,0.129,0.314,0.982,0.986,3.875,3.746,-1.108,0.925,0.996,3.838,3.547,-1.126
277,MRC2,0.34,0.369,0.136,0.148,0.987,0.972,5.666,5.663,-0.074,0.974,0.946,5.889,5.797,-0.058
176,FLVCR1,0.338,0.44,0.157,0.051,0.926,0.947,7.905,7.795,-0.235,0.972,0.979,7.593,7.565,-0.171
123,CORO1A,0.337,0.402,0.419,0.171,0.982,0.933,3.85,4.269,-1.016,0.907,0.991,3.884,3.713,-1.133
197,GPR124,0.334,0.364,0.208,0.236,0.978,0.98,6.345,6.172,-0.074,0.984,0.98,6.066,5.83,-0.058
14,ADCY9,0.334,0.353,0.234,0.069,0.996,0.978,4.812,5.046,-0.19,0.977,0.973,4.975,5.042,-0.153
142,DNAJC13,0.334,0.51,0.232,0.373,0.872,0.928,4.842,4.893,-0.87,0.883,0.914,5.412,5.039,-0.116
3,ACLY,0.331,0.381,0.062,0.209,0.976,0.955,4.185,4.233,-0.424,0.918,0.931,4.237,4.354,-0.616
332,PVRL1,0.33,0.559,0.063,0.161,0.87,0.883,7.159,7.096,-0.028,0.978,0.979,6.797,6.902,-0.037
185,GNA13,0.33,0.363,0.137,0.306,0.967,0.985,5.262,5.26,-0.129,0.946,0.987,5.433,5.127,-0.089
39,ATP11A,0.329,0.361,0.202,0.091,0.976,0.978,5.857,5.655,-0.112,0.989,0.987,6.086,6.049,-0.137
