Accession,logFC,-logPval,-logAdjPval,DMSO_1,DMSO_2,DMSO_3,DMSO_4,DMSO_5,5FU_1,5FU_2,5FU_3,5FU_4,5FU_5
H3BTX0;Q9BTK6,0.0033,0.0209,0.0002,30744.0,33388.0,30583.0,33691.0,33266.0,34692.0,32281.0,30564.0,36916.0,29582.0
H3BTX7;Q96A37-2;Q96A37-3;Q96A37;H3BQ58,0.0047,0.011,0.0002,4434.7,7778.7,6840.9,6343.0,5563.9,5865.1,6928.9,6064.8,5842.2,6355.8
Q96T51;Q96T51-2;H0YA47;Q96T51-3;H0YAC8;J3KPP6;H0Y9Y8;H0YD93;Q8WXA3-5;Q8WXA3-4;Q8WXA3;Q8WXA3-3;Q8WXA3-1,0.0019,0.0091,0.0002,233300.0,324880.0,297920.0,327360.0,303280.0,345920.0,236980.0,305670.0,351220.0,270000.0
Q96T23-2;Q96T23;H0YCN2;Q96T23-3;H0YER1;H7C306;H0YDG9,-0.0019,0.0136,0.0002,31691.0,37097.0,33215.0,37037.0,38947.0,37928.0,30464.0,37142.0,38269.0,35543.0
K7EKZ6;K7EQ21;Q9P0U4;Q9P0U4-2,-0.0021,0.0091,0.0002,4688.7,6050.6,5049.7,5130.3,5877.2,5927.9,4711.6,4958.1,5912.7,5479.2
Q96DT7-2;Q96DT7,0.0048,0.0225,0.0002,4635.6,4805.0,5338.4,5817.1,6104.8,5653.9,5118.7,5594.6,5914.0,4766.9
H3BVG0;Q8N1F7;Q8N1F7-2;H3BV11;H3BRI8;H3BM93;H3BNN5;H3BPA9;H3BVE2;H3BRD9;H3BV15;H3BMX0;H3BP95,0.0024,0.0146,0.0002,256690.0,342780.0,303720.0,333110.0,337420.0,372620.0,267060.0,327650.0,358730.0,271270.0
K7EKV7;K7EJM2;K7EP49;K7EL14;K7EPI7;K7EQW7;K7ES47;K7ELB7;Q9HCE3,0.0064,0.0251,0.0002,5034.2,5143.4,5024.7,5865.9,6701.0,6088.6,4417.9,6004.1,6710.0,5036.3
K7EJH0;K7EMX1;K7EJV2;K7ESQ2;K7ERQ7;A0A0A0MSN0,0.0062,0.0221,0.0002,12150.0,18166.0,13813.0,15546.0,13435.0,16855.0,12005.0,14568.0,17975.0,13205.0
Q96EL3;B9A051,-0.0018,0.0104,0.0002,141710.0,143640.0,132140.0,150980.0,191660.0,160160.0,142030.0,156070.0,163110.0,142620.0
Q96S19;A0A087WYU2;Q96S19-3;Q96S19-5;H3BQ55;H3BNB2;H3BMF3;Q96S19-6;Q96S19-4;H3BS73;H3BRT2;H3BNT3;Q96S19-2,-0.002,0.0101,0.0002,71486.0,107380.0,83878.0,90882.0,91930.0,103370.0,76215.0,91417.0,97984.0,80793.0
Q96S15-2;Q96S15,0.0168,0.0245,0.0002,18700.0,15792.0,16986.0,17142.0,8686.0,15511.0,17104.0,18480.0,16100.0,13130.0
Q96RS0,-0.002,0.0083,0.0002,9165.7,12798.0,11368.0,12324.0,10793.0,12557.0,11325.0,10360.0,12237.0,10419.0
Q96QU6,0.001,0.0091,0.0002,85155.0,97394.0,85254.0,93146.0,108600.0,104230.0,90561.0,90841.0,102540.0,85838.0
Q96Q42;H0Y696;Q96Q42-3,-0.0036,0.015,0.0002,3822.0,5290.3,4987.3,5246.5,4913.1,5486.4,4367.8,4967.5,5545.9,4141.0
J3QRT6;J3KSZ7;O43236-5;O43236-2;O43236-3;O43236;O43236-4,-0.0097,0.017,0.0002,792.11,812.81,609.63,692.44,1059.9,666.59,875.43,693.46,857.31,836.36
J3KSH1;J3KS38;J3KRS2;J3QLK6;J3KRD0;Q86W34;J3KTM1;Q86W34-5,0.004,0.0267,0.0002,26327.0,34102.0,30393.0,34483.0,34755.0,37802.0,28016.0,33189.0,35228.0,28116.0
Q96IY1;Q5SY76;Q5SY74;Q96IY1-2,0.0023,0.0137,0.0002,41840.0,51303.0,45223.0,50193.0,59336.0,49742.0,50501.0,51011.0,54687.0,43496.0
Q96LB3;Q96LB3-2;E5RGX6;E5RIF0;E5RH29;E5RJK3,0.002,0.0231,0.0002,245370.0,265810.0,246240.0,279400.0,297560.0,297540.0,247600.0,270800.0,299110.0,237100.0
Q96J01;Q96J01-2;D6REC9;D6RGZ2;H7C0C5,-0.0026,0.0195,0.0002,98094.0,100780.0,96826.0,103200.0,117590.0,117080.0,98160.0,98104.0,116020.0,92648.0
Q99816;F5H442;Q99816-2;J3QRU6;J3QKS4,0.0077,0.0267,0.0002,114350.0,163200.0,149780.0,171330.0,164770.0,191000.0,110150.0,162800.0,193380.0,123990.0
Q969H8;M0QXF7;M0QYN0,0.0042,0.027,0.0002,475050.0,470500.0,443140.0,505540.0,585200.0,541410.0,486980.0,507400.0,556910.0,421680.0
H0YME5;Q9P2K8-2;Q9P2K8;Q9P2K8-3,0.0061,0.0256,0.0002,29134.0,45402.0,40486.0,41945.0,37267.0,44166.0,34550.0,38511.0,43142.0,36736.0
G3V3F7;H0YIY1;G3V577;G3V236;Q96KN7-6;Q96KN7-4;Q96KN7-5;Q96KN7,-0.0031,0.0132,0.0002,12063.0,14484.0,13889.0,12776.0,12378.0,13965.0,13197.0,13342.0,14761.0,11189.0
O60294,-0.0044,0.0104,0.0002,1603.1,1694.6,1839.5,2235.4,2854.3,2413.6,1913.3,2186.5,1897.3,1799.3
Q9BW91-2;Q9BW91;D6RAW2;H7C386;D6R8Z6,-0.0028,0.0212,0.0002,249360.0,285700.0,260220.0,271580.0,285870.0,288690.0,271220.0,257450.0,293000.0,252870.0
Q9BW71-2;Q9BW71;Q9BW71-3,-0.0029,0.0187,0.0002,100610.0,112630.0,102410.0,111820.0,135520.0,117690.0,106330.0,109050.0,118220.0,113120.0
O43865;O43865-2,0.0017,0.0145,0.0002,460980.0,564730.0,520170.0,584890.0,613450.0,631550.0,499080.0,576230.0,600790.0,469840.0
F8W9J4;Q03001;E9PHM6;F6QMI7;Q03001-14;Q03001-8;A0A0U1RQJ2;H0YC65;Q03001-9,-0.0019,0.0142,0.0002,74801.0,85215.0,88140.0,88906.0,89222.0,93788.0,75618.0,89427.0,93636.0,78800.0
O43852;O43852-3;O43852-6;O43852-15;O43852-5;H0Y875;O43852-9;O43852-10;O43852-13;O43852-14;O43852-11;O43852-12,-0.0031,0.0148,0.0002,1806800.0,1655600.0,1561700.0,1942200.0,2368900.0,2016200.0,1708300.0,1965400.0,2052000.0,1657800.0
Q8TCY9-3;Q8TCY9-4;Q8TCY9-2;Q8TCY9,0.0065,0.0262,0.0002,23044.0,37835.0,32579.0,33478.0,33596.0,37615.0,26381.0,33724.0,35924.0,29288.0
O43747;O43747-2;H3BNR4;H3BR36;H3BUN9;B4DGE1;H3BN71;H3BS13;H3BV30;H3BRM7,0.0053,0.0225,0.0002,291720.0,452210.0,392720.0,421790.0,395380.0,454960.0,310570.0,403560.0,468380.0,350320.0
Q8TDR0-2;Q8TDR0,0.0034,0.0237,0.0002,13496.0,14565.0,14551.0,15090.0,17293.0,17086.0,13421.0,16004.0,16347.0,13234.0
Q9BV57;Q9BV57-2;A0A0G2JQN5;H7C382,0.0039,0.0243,0.0002,178600.0,167200.0,165700.0,191340.0,211680.0,196610.0,173910.0,194090.0,198500.0,164060.0
Q9BV20;Q9BV20-2,-0.0013,0.01,0.0002,121750.0,150450.0,134310.0,150610.0,150210.0,162120.0,127430.0,140570.0,164800.0,121370.0
O43464;A0A0C4DG44;O43464-3;O43464-2;O43464-4;P83110-2;P83110,-0.0021,0.0211,0.0002,134780.0,160480.0,145520.0,155960.0,167260.0,158920.0,148300.0,159710.0,164320.0,138110.0
Q8WUA7;A0A0A0MRY0;Q8WUA7-4;B0QYI1;Q8WUA7-2;Q8WUA7-3;F8WDP1,0.0023,0.0236,0.0002,127260.0,161820.0,146440.0,157940.0,160510.0,166040.0,139420.0,153840.0,164410.0,138840.0
G3V5E1;O75909;O75909-4;O75909-1;G3V2Q3;O75909-2;G3V235,-0.0042,0.0264,0.0002,57603.0,82985.0,72761.0,77170.0,81793.0,82939.0,67060.0,74336.0,79729.0,69791.0
O00505;H0Y4S9,0.0021,0.0133,0.0002,131310.0,147110.0,134330.0,160250.0,184960.0,174210.0,128660.0,155400.0,168410.0,139370.0
Q8WVM8-2;Q8WVM8-3;Q8WVM8,-0.0038,0.0182,0.0002,82852.0,107540.0,99052.0,112800.0,99885.0,112530.0,85114.0,110980.0,117750.0,82308.0
Q8WVT3;H7C373;H7C1E5;H7C2F7;A0A0G2JQW1;A0A0J9YXQ9;Q53QD4,0.0029,0.0156,0.0002,24797.0,35958.0,31978.0,32261.0,33016.0,35347.0,28060.0,31850.0,35588.0,29119.0
Q8WX93-3;Q8WX93;Q8WX93-4;Q8WX93-8;Q8WX93-5;Q8WX93-2;Q8WX93-9;Q8WX93-7;H0YA05;F8WA26;D6R9F5;H0Y952;Q8WX93-6;D6RBB1;D6RBH5;A0A087WX60;Q86TC9-2;Q86TC9,0.0025,0.0257,0.0002,772170.0,902830.0,794080.0,863450.0,885350.0,920440.0,806590.0,833260.0,943420.0,770320.0
G5EA30;Q92879-5;Q92879-2;Q92879-3;Q92879-6;Q92879;Q92879-4;F5H4Y5;E9PQK4;E9PSH0;F5H0D8;E9PKU1;V9GYD9;Q5VZZ6;A0A0J9YX66;A0A1B0GU44;E9PC62;A0A1B0GUN8;A0A0J9YXJ0;O95319-5;O95319-2;O95319;O95319-4;O95319-3;E9PKA1;V9GY47;A0A0J9YXK1,-0.0032,0.0162,0.0002,40152.0,56627.0,46599.0,50715.0,50568.0,56476.0,39445.0,50818.0,56933.0,43812.0
H0Y4B0;O43414-3;O43414-2;O43414;F6QUN3;F6UGJ8,-0.0042,0.022,0.0002,75816.0,78009.0,76881.0,90405.0,106760.0,100360.0,76268.0,88274.0,95254.0,71246.0
O15056-3;O15056-2;O15056;A0A1W2PR85;E7ER60;H7BY56;Q5TA15;H0YEV8,-0.0051,0.0243,0.0002,26718.0,39534.0,33772.0,34795.0,34418.0,38211.0,27869.0,34011.0,38241.0,32229.0
O15040-2;O15040,-0.0029,0.0199,0.0002,20271.0,22412.0,23086.0,22397.0,23659.0,24030.0,20484.0,22780.0,24170.0,21451.0
Q9BRS8-2;Q9BRS8,-0.0035,0.0201,0.0002,12870.0,16320.0,14133.0,14559.0,14941.0,15279.0,13794.0,14218.0,15539.0,14426.0
H0YAN8;O15013-7;O15013-4;O15013-5;O15013-6;O15013;E9PB39,0.0025,0.0107,0.0002,27023.0,39926.0,37339.0,36344.0,36118.0,40015.0,28426.0,36204.0,41176.0,33499.0
H0YEF3;Q8TDP1;E9PN81;E9PKP0;H0YE52;H0YCP5,-0.0015,0.0095,0.0002,39641.0,48611.0,41455.0,46417.0,43153.0,48065.0,41532.0,43395.0,46740.0,41670.0
O00743;O00743-2;O00743-3;Q5T1S7,0.0025,0.0197,0.0002,189720.0,207350.0,199340.0,202510.0,233470.0,220930.0,206020.0,199720.0,223690.0,192960.0
H0YL49;Q6PD74-2;Q6PD74,0.0034,0.0152,0.0002,60480.0,93568.0,83377.0,89133.0,90385.0,93509.0,67756.0,87224.0,97212.0,76375.0
Q93008-1;Q93008;O00507;O00507-2;H7C2M9,0.0029,0.017,0.0002,559990.0,751970.0,678360.0,772370.0,764690.0,828070.0,578300.0,731680.0,807230.0,632290.0
Q6NZY4;Q6NZY4-2;F5H6J5;F5GX80,0.0024,0.0231,0.0002,241910.0,297600.0,269860.0,303180.0,315240.0,312050.0,248020.0,297390.0,319650.0,267190.0
Q9H8Y8;Q9H8Y8-3;Q9H8Y8-2;C9J9V9;H7C0J2;C9J0V5;G3V0G1;Q9BQQ3-2;Q9BQQ3,-0.0053,0.0268,0.0002,150690.0,217150.0,192340.0,195020.0,211690.0,214400.0,153840.0,190870.0,228500.0,186110.0
