Accession,logFC,-logPval,-logAdjPval,V_log2.i._TMT_1_iTSA52,V_log2.i._TMT_3_iTSA52,V_log2.i._TMT_5_iTSA52,V_log2.i._TMT_7_iTSA52,D_log2.i._TMT_2_iTSA52,D_log2.i._TMT_4_iTSA52,D_log2.i._TMT_6_iTSA52,D_log2.i._TMT_8_iTSA52
Q9BZE2,-0.0498,0.7535,0.1971,1505063.9525418493,1582634.6190790972,1484929.5235275675,1545626.34567561,1404851.9600340847,1484929.5235275675,1541348.9247446347,1480929.0978718218
Q9UQ53,-0.0823,0.7535,0.1971,2069752.6282721786,1996261.751811131,2266658.3947167364,2327468.64232329,2122991.55247635,2116068.442030923,2018179.1013162965,1913715.0241541406
Q9BTK6,0.0514,0.7532,0.1971,5231800.579452524,5140124.631910479,5364504.091333589,5421959.364139643,5838114.478580092,5317701.11078102,5339799.234937054,5440817.211234606
Q96QD8,-0.0783,0.7531,0.1971,825654.4839178465,784019.0806322831,845365.6930510659,925960.887559222,757742.4201764632,793643.9581493568,801484.4418660607,846106.6863724767
Q9NVA1,-0.0448,0.7529,0.1971,3949537.9118184512,3891065.51253274,3852670.8899652897,3981780.9348748024,3753884.2888489733,4010766.703857425,3670509.7914492292,3767355.5614687195
O95319,-0.0865,0.7525,0.197,6799502.5861983895,6587392.897925636,7394353.525332853,6920251.118936964,7307558.840551209,6426608.466983568,6271903.102092018,6122390.688858588
Q9UNQ2,-0.0394,0.7521,0.1969,7386730.540158613,7241100.130594284,7512831.006524069,7336939.763692468,6882789.131484217,7342721.34342463,7299293.644964165,7165321.761321361
O95159,-0.0884,0.7513,0.1966,1577081.2085759104,1569454.528578737,1376319.302792044,1367983.425550025,1339722.7488741393,1403356.6087902405,1478361.7146606226,1312052.1563032193
P01033,-0.0565,0.7515,0.1966,2333092.635459086,2410388.4761654558,2397454.442346136,2411134.0150342244,2252560.5558116618,2384184.8597213905,2411879.7677820604,2145633.177561314
P42166,-0.0339,0.7507,0.1962,38713832.24756551,39791495.343942106,38408372.307488,38408372.307488,37076386.02221479,38257379.45782216,37806943.404084854,38577873.89673927
