Accession,logFC,-logPval,-logAdjPval,V_log2.i._TMT_1_iTSA52,V_log2.i._TMT_3_iTSA52,V_log2.i._TMT_5_iTSA52,D_log2.i._TMT_2_iTSA52,D_log2.i._TMT_4_iTSA52,D_log2.i._TMT_6_iTSA52
Q9Y3B3,-0.0821,0.6735,0.0812,1806547.9912011314,1952486.753678256,2008561.7155734603,1658938.0824008952,1806547.9912011314,1948935.426061592
Q8N9T8,-0.0595,0.6662,0.0812,908371.2752944313,864915.9637186356,871645.0277070396,855420.7691941736,823619.3389906944,843730.0737665107
Q99583,0.0467,0.6714,0.0812,5564949.095018196,5553116.684087351,5553116.684087351,5790791.691797946,5835404.848614165,5489252.870368373
Q9Y6X9,-0.0503,0.6663,0.0812,3356626.097254752,3480778.9580878015,3553877.7888892107,3388994.841090321,3221179.7983756308,3362956.6002774644
Q8IYN6,-0.1131,0.6676,0.0812,774302.073509924,793643.9581493568,671247.0140878198,745794.2921026096,606189.3750395414,706328.5077683268
Q9BZL6,-0.0763,0.6745,0.0812,810737.236030586,888537.5740651311,921395.7449761701,813747.6407491738,803557.6968015655,852831.0267409765
O15355,-0.0389,0.6721,0.0812,61528614.903422266,63950756.51520921,62882800.76175502,60925634.29101795,60457961.09267198,60856155.46790758
Q15398,-0.0369,0.6767,0.0812,28615045.994073715,28629896.915383875,28996131.880449314,28257370.977676675,27645846.28778854,27645846.28778854
Q8N3U4,-0.0461,0.6746,0.0812,50057754.846676305,51225852.749942556,53953772.42201059,49483550.04657238,49483550.04657238,50450752.770210266
P15923,0.0476,0.6684,0.0812,7087548.8843915425,7002130.989645047,6780246.670608641,7227609.548271987,7260089.989514612,6952970.462342101
Q9UI10,-0.0449,0.6672,0.0812,9161572.091745162,9573199.6067342,9812903.281754991,9228332.53146482,9132304.47646673,9142100.322314244
Q5SY16,-0.0613,0.6717,0.0812,1038678.674041478,1081598.6085002,1033233.8907404118,964144.2665751037,1025141.5230225144,1014878.4230379963
Q96PC5,0.046,0.6686,0.0812,14554112.784684276,14068592.550763644,15164248.94357457,14836935.345832685,15027640.263312874,15063359.013265299
O75477,-0.0487,0.6666,0.0812,2466626.403196131,2513804.2312558973,2569202.723107448,2357656.207899176,2417440.7334394786,2479166.7493041875
Q6PL24,-0.0403,0.6754,0.0812,5069311.334958636,5038008.865003479,5201020.702960947,4919671.5498276325,4901246.955806887,4974325.106344775
P10412,0.0838,0.6771,0.0812,41727456.849485256,41186086.725091636,34932471.68472276,40768420.85421233,43620434.95827896,39791495.343942106
Q9BTF0,0.0657,0.6735,0.0812,2082052.8655538892,2080522.38470621,2310878.7915894096,2261249.1188656026,2167636.853455084,2303638.599015555
P07814,-0.0595,0.6749,0.0812,200977683.08429772,215068031.15401012,200182300.46152642,186111027.5028274,197727286.93836784,203908106.375977
Q9NTJ3,-0.0483,0.6713,0.0812,69098177.81119688,74081783.20514616,73494248.17382918,68227836.80856906,69218058.49647817,70809744.25427118
P36404,-0.0579,0.6733,0.0812,3810399.9917100375,3593617.9539699787,3492285.1229308066,3539055.0196242062,3401290.1712923166,3464910.964035857
P23284,-0.0418,0.6714,0.0812,190861343.21154836,188022204.9861244,184739992.02038503,178063792.78608164,184124778.65117827,182053831.1060926
Q9BY11,0.0657,0.6665,0.0812,1186309.748707444,1245937.6558426712,1227291.1252079357,1346062.4275576698,1237953.7879782787,1222708.3150222185
Q9H1J1,0.0576,0.6674,0.0812,1157387.4059336202,1125281.2660287016,1203248.7551059597,1218523.7078225967,1221504.5441959775,1165580.3901607543
Q96Q15,-0.0563,0.6652,0.0809,2192948.544144037,2244266.7781323413,2415247.040204159,2176910.629618279,2172560.797985274,2199540.7362082615
Q14145,0.0462,0.6654,0.0809,12786014.772458432,13686005.533469258,13096428.089482764,13517608.9631686,13580228.983014984,13510374.030582497
Q13011,-0.0375,0.6643,0.0807,58070635.23550355,57460148.675736174,57460148.675736174,55002230.13765969,56262882.8144948,56262882.8144948
P23025,-0.0472,0.664,0.0807,2078234.4986757815,2071657.5771682828,2179628.273967694,2039899.392789599,2013365.684702264,2034629.1513147468
P49848,0.0714,0.663,0.0807,1403356.6087902405,1459592.8923375763,1436939.5098899573,1399383.6110553553,1608926.3987581406,1482325.7574777845
P60981,-0.0445,0.6633,0.0807,19678115.227739643,19406008.851148695,19130718.330475338,18152687.76652204,18922516.509910356,19031282.751375876
P30711,0.1003,0.6646,0.0807,1128250.4865291305,1129594.2270742357,997054.1472770815,1292540.324882353,1065959.6442301758,1110392.632465495
Q8IY67,0.0543,0.663,0.0807,6200314.951961996,6244915.585829665,5790791.691797946,6282317.6042841375,6163577.1115670875,6376712.691194114
P49770,-0.0412,0.6635,0.0807,17693639.763958253,17468721.15575324,17847380.420553375,17529093.929280788,16786262.7226042,16887897.714313135
Q9Y3A6,-0.0536,0.6623,0.0803,3307216.5207387917,3333176.9087255127,3509804.9807733633,3128625.356840397,3239966.936572417,3350953.0674309144
Q8TCS8,-0.0394,0.6614,0.0797,106641557.8434187,107180043.8126318,106270811.67690785,100922631.60732743,103712813.0542952,104933400.30536354
P47224,0.0566,0.66,0.0793,8656675.862158673,8288474.003825733,8100159.692770035,9042167.486383604,8506483.512033349,8343945.01425335
Q9NR56,0.0435,0.6602,0.0793,52662612.61148805,51480128.8961424,50691861.585280694,52720782.94974613,51933321.75017355,53953772.42201059
Q9UN37,-0.0522,0.6608,0.0793,11057575.139333228,11770228.724711277,11212559.22713622,10463753.324083636,11090844.528440317,11078083.791462414
Q9H832,-0.0386,0.6603,0.0793,10941183.529771553,10659803.734264504,10728474.829935769,10393146.521453794,10477723.281452606,10415689.856789326
P78347,-0.055,0.6583,0.079,36438316.99479982,37762913.74571138,35882022.63279832,33424758.48072392,35250119.43761672,36653651.41109998
Q92541,-0.0367,0.6591,0.079,29511065.201923274,29511065.201923274,29841063.362331122,28935882.31999172,28271126.8018538,28897041.693554617
Q96A19,0.0831,0.6588,0.079,443318.901652861,442385.8943996025,441483.9792020568,492643.1767476685,474059.32256304915,430752.8302178967
P67936,0.0573,0.6581,0.079,38970943.3842118,40040087.74632339,42280396.78134276,44187343.66862236,40768420.85421233,40472830.9828908
P04083,-0.0596,0.6587,0.079,152572958.95668164,161560485.98673648,146191844.49631238,140768882.98206505,146828101.31733102,151476977.61904052
Q8TC12,-0.0747,0.6577,0.079,10008254.669264447,10561896.329488045,9758356.36994559,8633315.252765825,10041970.944267815,9949450.78747437
Q9P1U1,0.0635,0.6578,0.079,719497.6054514844,746729.9962988464,702482.9965161638,756088.2348581506,765873.237193784,730749.2967172019
P25205,-0.035,0.6571,0.0787,242780274.69471607,241464694.25235108,243998199.32086593,236999090.20537257,236999090.20537257,232459872.97114575
Q9UBI1,-0.0559,0.6569,0.0787,2842019.928011357,2889210.283947714,2668386.320915003,2656168.059044815,2660411.146628365,2715854.2560255383
Q7Z4G4,0.0454,0.6564,0.0785,9649747.018837823,9391322.083580071,9142100.322314244,9633749.431258772,9752387.160223298,9524195.67191643
Q96AJ9,0.0456,0.6547,0.0784,2451460.1682857494,2467578.020123349,2562162.1129573244,2604899.2976342747,2527560.211989458,2541329.444167177
Q13423,-0.0582,0.6548,0.0784,55095791.62421907,58222446.22504667,55166739.11321122,50366759.22134507,55095791.62421907,55379985.876983
Q7Z7N9,0.0751,0.655,0.0784,664493.5913224017,725291.1853462319,750469.4768100852,719497.6054514844,758300.8108360397,762710.216913544
Q92733,0.0427,0.655,0.0784,32141391.6493589,31504977.20451491,31278146.77613746,32544361.862227388,33127272.966042403,31519941.906096604
Q96CS2,0.0543,0.6557,0.0784,6635293.0341350585,6561606.512496883,6107595.473077909,6678119.829047169,6561606.512496883,6686682.752188527
Q9NUU7,-0.0448,0.6553,0.0784,59324320.2896667,60399202.71741851,62366131.18976766,57384205.63622881,57732032.43498563,60310384.2019722
Q9H9E3,-0.0781,0.6544,0.0783,2204910.934735295,2448373.5379490196,2651063.2311354913,2363647.3097457513,2213076.1451186417,2298891.138919651
Q13686,0.0587,0.6538,0.0783,674833.6553304504,688773.7378888848,666281.7998817516,709587.2639256644,707289.3389486156,684600.8841495091
Q8WWB7,0.0572,0.654,0.0783,1204596.9245288055,1238871.8836022236,1184566.9424208982,1215915.9959473412,1293517.1129368949,1242740.5136831664
P62068,-0.0934,0.6523,0.078,354753.6518582318,312815.7527435243,327742.77922178427,304687.646106415,323374.6226839713,299315.6442093702
P63092,-0.0472,0.6519,0.078,5307182.391840995,5477649.408265466,5636141.494217388,5117590.643426226,5349229.608183964,5327429.663588418
Q9UPT9,-0.0607,0.6517,0.078,2039899.392789599,2097179.764612212,2244266.7781323413,1986302.484438597,1987955.083673151,2105949.9952380825
O00268,-0.0454,0.6513,0.078,2086288.279617192,2028237.25194357,2130384.992568013,2011823.9177476813,2008561.7155734603,1993927.924236303
