Accession,logFC,-logPval,-logAdjPval,V_log2.i._TMT_1_iTSA52,V_log2.i._TMT_3_iTSA52,V_log2.i._TMT_5_iTSA52,V_log2.i._TMT_7_iTSA52,V_log2.i._TMT_9_iTSA52,D_log2.i._TMT_2_iTSA52,D_log2.i._TMT_4_iTSA52,D_log2.i._TMT_6_iTSA52,D_log2.i._TMT_8_iTSA52,D_log2.i._TMT_10_iTSA52
Q8NBF6,-0.0099,0.1092,0.0034,14377761.583302666,14949287.294921497,15263524.737816244,15039726.335190613,16236732.542529983,14960887.348711947,15718671.017978154,14730183.633271338,14702448.487544626,14762113.992699554
Q01968,0.0144,0.0907,0.0034,812517.4940513824,858696.2167568154,860462.6290241429,944009.5113867795,744679.4343799609,871645.0277070396,812517.4940513824,799083.5556820516,887094.8234849125,865577.8045601888
Q9H5X1,-0.0366,0.0912,0.0034,7250017.666766142,7124209.888182407,8934995.61150603,10861725.17679405,6225231.596916079,8796978.711018017,6842327.556947355,7497145.704321789,8525778.89092561,7465682.891006813
Q07955,-0.0064,0.1011,0.0034,337212372.5951769,335036013.41713595,348613988.65279925,358530882.07850504,345650513.974381,345650513.974381,345650513.974381,335036013.41713595,340123175.11286604,340123175.11286604
Q9Y282,0.0085,0.0977,0.0034,2444915.2227028846,2456366.683653115,2355247.9048489085,2303638.599015555,2321252.703896459,2284016.781392683,2415987.2995579,2367638.26864963,2353431.3022020925,2456366.683653115
P82909,0.0271,0.0946,0.0034,12045233.708064375,10916012.379111147,8601196.41463263,8492719.203745078,11379574.592666723,11327892.234208638,10959052.005643314,10450545.104390148,10188159.251973769,9175903.382958476
P28908,-0.0146,0.108,0.0034,3596760.3846828383,3897567.9923124663,3774910.1622967967,3612091.5792255597,3379040.5431692526,4034311.438688708,3369179.0974090407,3565884.021120208,3533621.194352084,3461246.2623180877
Q8N0W3,-0.0131,0.1092,0.0034,4693328.494356252,4749693.70422272,5288108.876420016,5425866.233782203,4745397.435783636,5154106.652074577,4678618.84445244,4838663.898283699,4971240.433224324,4877618.559689329
P06132,-0.0079,0.1071,0.0034,163782387.18328482,163304241.31956598,172963984.20773742,174386173.83189997,166247380.74585003,172963984.20773742,165633768.42676628,165633768.42676628,163304241.31956598,163304241.31956598
O43670,-0.0144,0.1066,0.0034,30207845.59873071,28480907.88513722,28348235.628728203,28394024.463504862,33817275.79446857,29822480.42314057,31809292.320827316,28653944.337864824,28394024.463504862,28171690.453265183
O15234,-0.011,0.1116,0.0034,16188190.32234519,16134394.93797039,18000122.137247335,18129307.719375167,17005651.357282665,17370547.005243536,17038665.149956755,16877279.21225107,16747514.672047682,16236732.542529983
Q9Y673,-0.0138,0.0989,0.0034,3354993.8705466595,3464910.964035857,3109368.125030577,2967311.943951656,3517058.5459586736,2974998.478687442,3420596.427815908,3313300.7893822296,3172241.795364828,3276131.6691351794
