Accession,logFC,-logPval,-logAdjPval,V_log2.i._TMT_1_iTSA52,V_log2.i._TMT_3_iTSA52,V_log2.i._TMT_5_iTSA52,D_log2.i._TMT_2_iTSA52,D_log2.i._TMT_4_iTSA52,D_log2.i._TMT_6_iTSA52
P07437,-0.0776,1.0367,0.0013,160855507.2673956,174386173.83189997,164082707.28575578,146191844.49631238,161560485.98673648,162658514.21038532
P07437,-0.0776,1.0367,0.0013,160855507.2673956,174386173.83189997,164082707.28575578,146191844.49631238,161560485.98673648,162658514.21038532
Q9BX66,0.0369,0.2934,0.0013,10121344.487251064,9746421.601880744,10619636.506423304,10879232.754781995,10096534.245005323,10113876.070783334
Q5JTD0,0.0265,0.1684,0.0013,2908395.8674688083,2908395.8674688083,3261420.9491664064,3225882.74630402,3033582.970714731,2930949.804618806
P18846,0.0485,0.4059,0.0013,20727006.72516858,19392616.328101195,18454990.383016653,20057758.851370722,20910394.433462236,19271694.59219324
Q9UJV9,0.0146,0.1053,0.0013,5609083.852709027,5785400.483609779,5538551.552937262,5517843.086496062,5795446.681797072,5692822.235296646
Q6ICB0,-0.0908,0.6204,0.0013,733116.520030575,720546.5842923904,647021.8197501097,651751.7247276152,668619.6364468044,641105.931053496
Q99661,-0.0408,0.4623,0.0013,37278225.7230202,37992364.846277654,37224763.05679203,35206237.29387827,36510957.29340475,37008706.58318197
Q9UEU0,0.0205,0.1087,0.0013,1201828.90936531,1191281.803978102,1106367.9510855242,1125281.2660287016,1186309.748707444,1217893.9642372646
O95628,0.0166,0.1313,0.0013,18557743.0745054,18065936.535252243,18962915.81293532,19352228.322170403,18328799.633129377,18215387.873829175
Q03468,0.0287,0.162,0.0013,744679.4343799609,727661.6637721064,713193.6439397387,751655.3439966646,738287.353240164,726667.7679260215
Q9Y276,0.0338,0.224,0.0013,2344640.7553405142,2488290.73339039,2473788.2261880017,2339467.360267709,2658068.7514492334,2439020.916935192
Q8TEX9,-0.0033,0.0269,0.0013,32018203.353897594,32888488.0428384,33513264.9795421,32747044.95354233,32208877.344555933,32654489.082685366
Q7LGA3,-0.0098,0.0617,0.0013,5418964.329895429,5556698.181161348,5432394.721802826,5026986.939049556,5676794.23907272,5499505.497215663
O75694,-0.053,0.4478,0.0013,6900897.289963144,7431323.585895934,7323952.937644647,6686682.752188527,6721493.679918154,7342721.34342463
Q9NPH2,0.0308,0.4214,0.0013,122018256.4502695,119370307.46882398,120469807.63768113,123577552.0874391,123853434.09763242,120096954.01990254
O95999,0.0504,0.4113,0.0013,7754724.514731003,7585429.39499363,7336939.763692468,8281890.055714186,7504781.198055467,7561245.152552455
Q6ZT12,0.0288,0.1833,0.0013,9142100.322314244,9071091.775835942,7963813.747703298,8753074.263085648,9296731.249164991,8506483.512033349
P51965,-0.0699,0.7325,0.0013,5097851.684780343,5117590.643426226,4913163.128309703,4761807.173326446,4899235.564108472,4669695.702193433
Q14839,-0.0544,0.7824,0.0013,79441834.35100028,83424399.44539005,81095409.18891782,75495360.92715165,78206504.12702921,79861635.40689942
Q9NS91,-0.0273,0.2328,0.0013,11344152.608100047,11267441.782074973,11934797.397790615,11229347.856648002,11483550.104875822,10986220.368858088
Q53H47,-0.0741,0.5048,0.0013,2517003.252341099,2416727.7857968896,2814333.5816387553,2634315.262081273,2281402.8033719454,2399303.762315509
Q9H974,-0.0107,0.0712,0.0013,3539055.0196242062,3636403.1193145323,3846738.8776507955,3622332.5022654436,3539055.0196242062,3713566.107050091
Q92665,0.0054,0.0383,0.0013,7725050.641786196,7802582.847359942,7719295.898386979,7816889.916014335,7707368.771454577,7673280.534500007
P48723,-0.0304,0.2399,0.0013,3518825.057683693,3571740.9047247726,3689127.882985625,3528334.0111810155,3408271.4921527253,3555683.422544172
Q6NXT6,0.0375,0.2135,0.0013,441483.9792020568,435584.1884110707,458717.59809219977,444793.08693145314,462219.1989711269,455895.6822311242
Q96I99,-0.061,0.7517,0.0013,33217660.66257226,34263512.73543059,35406266.56212899,32957715.769155897,32055311.4444394,33029497.836312268
Q96PY6,-0.0487,0.3386,0.0013,1391895.2195598541,1369818.6907689746,1430367.994507164,1322688.1343916885,1346062.4275576698,1360360.4241975239
Q9BY32,-0.0505,0.3991,0.0013,29822480.42314057,29037942.536521707,33666801.98386219,30739580.264371227,27949394.638511043,30109998.700297803
P28340,-0.0176,0.1491,0.0013,16548509.320287066,17146546.31606492,16938057.894598715,16320455.077416252,16568248.828398677,16836325.836326182
O75976,0.0214,0.1826,0.0013,15093828.904371772,15828009.055194573,15906546.194976954,15586008.149372807,15763382.116257232,15896092.64283606
Q86U90,0.0435,0.3742,0.0013,8141450.326965435,8226637.197407667,8279064.914937545,8848805.38774946,8181256.938908288,8220994.057169194
Q9NRK6,-0.0132,0.1001,0.0013,13242381.289911073,13569322.173315799,13533413.904406771,12611320.24827986,13531056.002620483,13601575.63328284
Q8TCA0,0.0339,0.2411,0.0013,5838114.478580092,5513469.695620335,5273473.426795819,5850259.787614726,5692822.235296646,5380494.907993498
Q8N3D4,-0.0371,0.3338,0.0013,14286933.414876936,15141390.556634486,15183454.810188984,14739014.515992528,14122060.238449637,14359935.467290537
Q9NZR1,0.0116,0.055,0.0013,768740.0410884717,807797.79923299,704336.1815973722,750469.4768100852,783324.9470657535,752456.4970893839
Q641Q2,0.0262,0.1785,0.0013,2919132.9737500194,2915059.2974270987,3211277.0345150265,3172241.795364828,3008559.378174407,2974998.478687442
O95302,-0.0524,0.3782,0.0013,3146974.1121186037,3079058.121847295,3392836.17567115,3287233.8476222814,2892976.5933408095,3039613.584819133
P26885,0.0852,0.8712,0.0013,33470649.242639404,33093715.515681833,30006045.44303041,33513264.9795421,36009146.52650701,32348250.2121774
P26640,-0.0485,0.5251,0.0013,73362207.74893893,80132957.60957693,75629119.13937415,69646550.30390579,73581988.55922073,77018336.11191213
P11277,-0.0432,0.4268,0.0013,19201734.363743577,20320024.700137895,20359735.595645465,19420763.0475633,18842891.471686136,19503870.95639422
Q9BR61,-0.038,0.3072,0.0013,2926806.6880494743,2974998.478687442,3127753.116595278,2951094.993303621,2889741.455034788,2901500.425934048
Q6DHV7,0.0091,0.0633,0.0013,8816339.624244481,8766390.836294997,9209720.992418287,9312018.47581809,8839013.056600558,8651266.496911885
Q15382,-0.011,0.0651,0.0013,7575726.202364818,7767646.523891765,7165321.761321361,6812331.829969442,7807880.327495023,7590967.899385979
Q9UIQ6,0.0198,0.1413,0.0013,3247349.2655927544,3358468.1348305237,3500719.2384639494,3274960.0336784665,3507999.034410952,3402563.4871317665
P26572,0.0013,0.0063,0.0013,453011.23342605936,467056.0084710741,442385.8943996025,436358.952270316,454706.2567140922,464781.55805549904
O43290,0.0318,0.3848,0.0013,73857317.55225952,72947352.34103665,74801897.41502686,77077297.35773867,75495360.92715165,72637887.99843232
O15541,0.0318,0.2988,0.0013,26554718.130581446,25614465.47452878,26072505.08452568,26874550.14982113,27035529.56410725,25614465.47452878
Q9BUI4,0.0049,0.0364,0.0013,15636551.515230762,15471749.436284088,16281841.79393316,15796114.010517089,15968688.344595496,15504870.06458598
Q6SPF0,0.0091,0.044,0.0013,371929.99346429115,358758.2741702502,367479.33054295694,364394.9474749436,354753.6518582318,379536.1052209737
Q13469,0.0165,0.1229,0.0013,4111566.5787145533,4030424.119114154,4125895.5266838185,4224293.6036000345,4051567.175055978,4060421.0038361014
O14548,-0.0068,0.0221,0.0013,960177.6038813911,962213.2497401834,693618.2102479832,848396.1626980606,837078.072151581,904315.383293256
Q96N67,-0.0021,0.0111,0.0013,1529012.3617899728,1555945.1900937066,1498787.3961438406,1443349.6670940563,1568983.0325711926,1538347.5508232363
Q9UJU6,-0.0266,0.2635,0.0013,36115324.56468699,35046177.70095306,36861583.45378697,35948463.42792019,34963229.62752538,34516680.25767051
Q8WV92,0.0286,0.155,0.0013,1409301.4823538437,1426781.090542995,1585660.7931913075,1583739.9239242931,1413904.0509934337,1484929.5235275675
Q7L1V2,0.0573,0.5326,0.0013,2980244.7604351756,3012729.3648889377,3079058.121847295,3190697.860399465,3114349.0776921706,3079058.121847295
Q9ULW0,0.0314,0.3762,0.0013,61660252.86181082,60310384.2019722,62156324.52757392,63339626.74832461,62156324.52757392,61585129.90913761
P49916,0.0207,0.1589,0.0013,7863050.39443274,8167074.175381544,7834624.120940954,7796241.174659775,8234066.673906655,8039127.883872978
