Accession,logFC,-logPval,-logAdjPval,V_log2.i._TMT_1_iTSA56,V_log2.i._TMT_3_iTSA56,V_log2.i._TMT_5_iTSA56,V_log2.i._TMT_7_iTSA56,V_log2.i._TMT_9_iTSA56,D_log2.i._TMT_2_iTSA56,D_log2.i._TMT_4_iTSA56,D_log2.i._TMT_6_iTSA56,D_log2.i._TMT_8_iTSA56,D_log2.i._TMT_10_iTSA56
Q9Y5T5,-0.0379,0.1959,0.0001,2304325.6757708834,2391087.9232104034,2588499.2149913027,2648839.4833364394,2153561.390980946,2478249.983151555,2033985.790734245,2440242.7155087343,2413109.9319869415,2279161.190290683
P56211,-0.0104,0.016,0.0001,30514714.14833167,19666138.4655889,27870445.541568585,28709051.47483122,42294438.99575913,33626988.34142829,40619478.73420111,11937744.782422185,27061918.423098426,33031032.93502051
O75817,-0.0072,0.0412,0.0001,5189332.7624146575,5451457.57826368,5114648.235262973,5150858.402032003,5606673.898649377,5396328.821888685,5353970.428833175,5088797.42170181,4967256.478844892,5271643.210167242
P15976,0.1001,0.274,0.0001,7983190.791459444,7561250.183967645,5762311.973783217,5774166.387588749,8174612.365785714,11222289.113897147,7150519.154069384,5159685.49789229,6027063.273745468,7721051.686090044
O60841,-0.0623,0.6345,0.0001,273855620.68067,292411422.9768674,283768765.61269134,289946380.9370879,269030999.84375167,254336666.04866728,257558324.67470115,287733587.97968334,269030999.84375167,265951361.17800516
Q14166,0.0075,0.0469,0.0001,13881597.522847282,14167735.325861616,14145969.793680256,12707827.44787517,13451580.806675209,13421298.387390342,12770397.356164863,14512250.719624158,13870257.830565345,13375386.268549342
Q9GZS1,0.0094,0.041,0.0001,1161237.1246710848,1075543.7649636674,1130955.4187296429,937438.5578088058,1054347.588239059,960565.0554947319,1056153.112945335,1193300.623008337,1098016.3224019487,1028870.3955446758
Q9H900,-0.0573,0.4357,0.0001,4198912.343186363,4256856.657710325,4388451.735854952,4161867.631190372,4001751.6632428854,3715408.86165341,3863988.2328216285,4195126.14022771,4213037.422246629,3983642.825227549
Q969Q5,-0.0094,0.0542,0.0001,4827032.300311289,4480288.176059123,4296654.4643411795,4262656.465076859,4274503.605229698,4300084.173638787,4320809.455887042,4636524.282585845,4303760.753848859,4193303.00104484
O15357,-0.0019,0.0095,0.0001,3455429.945614815,3513311.3175445525,3339559.4354889966,3299868.4692625892,3511278.965717367,3735707.1684289947,3254205.684875057,3363329.1884634737,3201319.6373441964,3345831.9157896712
Q8NHZ8,0.0717,0.1748,0.0001,17072690.546771258,11005408.266931202,17189074.82120257,19653268.109224975,19139653.15448462,18997073.07006287,22237818.457199633,10165163.257717572,17545444.476215053,18453235.27279071
O94822,-0.0491,0.3472,0.0001,3053098.660222103,3011549.39225358,3057147.521640801,2782061.9403587123,2992367.7357253586,2802461.300196883,2755987.014928949,2907862.597744766,2819870.1696637818,2952723.879143563
Q5J8M3,-0.0183,0.0917,0.0001,2097409.2364875562,1943130.0899819667,1762359.0529974303,1669003.8477010317,1820400.9958889086,1892064.9328555304,1823384.9471739444,1848003.6556948337,1792307.7532441271,1714021.2915205734
Q02224,-0.0063,0.0411,0.0001,46194388.69302792,46194388.69302792,46761378.0276531,47790410.03600498,42695321.97357387,42219673.61537869,43659560.44887054,47754017.00266032,47358524.25910025,45171929.079934895
Q9BR76,-0.0176,0.1217,0.0001,32867242.584316712,33501709.304562308,32210470.97763571,31315248.030999295,29436120.300373264,29842035.124168243,29298654.97490779,32669567.277581297,31386963.112492166,32461273.857749313
P14868,0.0732,0.8396,0.0001,91274260.54631269,89817729.69048572,86505277.17909496,85970582.16424428,84741027.73772185,89172689.21671474,89172689.21671474,96582926.32582574,93406984.13811584,87679901.99952748
Q7Z7F0,-0.0456,0.2793,0.0001,3559468.1957702567,3496914.4231254268,3241171.5690283473,3146777.647098383,3618993.259580868,3066404.6280469038,3515491.6082860553,3114978.9211770026,3185828.2462704983,3462312.1062006317
P12235,-0.0736,0.5672,0.0001,4521746.334757414,4344351.7253842065,4190829.798384883,3924550.981157464,3874417.9732795097,4010535.2434375095,3695156.6867779195,4087523.941124977,3993044.3911586977,3810456.0377074117
Q49A26,0.0394,0.209,0.0001,478226.7019162175,492154.26109818806,460369.7549975353,402713.6450390491,465095.73350970633,444936.05956282077,497920.22437938955,466986.477842779,444936.05956282077,480209.31387705676
Q9UK99,-0.0034,0.0154,0.0001,2214032.05639257,2362000.1079591056,2209792.1233210997,2392607.8053709813,2427103.7177298446,2622452.279883147,2262146.98173379,2067960.9609797832,2111689.9718049597,2377203.4514026726
O75494,-0.0711,0.7915,0.0001,53144027.48966905,57877351.93892311,51759577.31183343,53751586.452509776,52495622.547724366,49386161.67237935,51424063.50634251,51361778.727244034,49812696.34681235,51183881.79517416
O75330,-0.0466,0.4913,0.0001,95567780.00140812,98120125.9502858,97390544.88825202,97852785.92469442,93996142.78843658,90040754.4891783,90711964.34278043,93996142.78843658,93103607.2800424,94568378.87828222
Q96PK6,-0.0092,0.0606,0.0001,23716492.408435613,23139723.022316784,24436128.223426647,23748840.466332793,24198820.9441853,24273575.879047904,23592510.018918745,22183483.258637726,22724754.295286767,24387139.656614948
Q9NR56,0.0484,0.3128,0.0001,144108480.8127548,132444966.04133776,139373198.85075417,138992801.87050113,166701424.3128782,151614931.43651178,162583734.3885151,138690349.2014162,138560377.99716604,146534152.5249911
Q96KA5,0.0214,0.1168,0.0001,2622452.279883147,2459182.5800880804,2410785.3296083445,2183021.5780124953,2535543.245267439,2485252.783522877,2352477.5426348583,2614459.8964745016,2464567.117928122,2339777.494689533
Q8NEZ4,-0.0084,0.0478,0.0001,5381782.66327388,5798130.041060515,5874208.324425915,6013617.889277697,5778319.715424152,5942427.721844591,5622455.395218342,5526558.216727736,5552583.451612008,5711216.601193394
P00387,0.0304,0.2069,0.0001,20363009.064087667,19334248.448735982,20006573.165849023,18832999.133645974,19377896.409561772,21283067.002261173,18674588.922362473,20945009.31449827,19835673.94326253,18153824.000417132
Q06587,-0.0605,0.2616,0.0001,4356303.414757155,5124061.604353387,5508191.587872027,6267310.806927022,4131119.3492405936,5099596.926803597,4165220.23765965,4695891.355968961,5107675.924093444,5007613.759913602
Q9P0P0,0.1638,0.8105,0.0001,16339393.755237134,12447884.556968214,16215062.850684257,16494647.028607028,20695516.518530466,21351215.24315384,20563521.197658908,17436689.588039152,15442598.102827083,16295045.899014145
P56182,0.0167,0.0696,0.0001,248169.82618716234,258290.82653485326,263407.5842676279,242701.384018473,242701.384018473,301303.592709075,242701.384018473,236708.20181473225,231397.70013706203,242701.384018473
Q96DA6,0.0644,0.3196,0.0001,3811977.042454639,3208656.809776488,3735707.1684289947,2951596.7258688984,3259600.9599593137,4115956.059690683,3381546.0502694915,3155845.769679183,3513311.3175445525,3372070.4102533027
Q9UQE7,-0.0237,0.1791,0.0001,249590428.72520158,262015463.92826304,257558324.67470115,257558324.67470115,227276150.46314883,241573775.8747584,230494379.3843548,251758983.87588456,250968770.23376566,245043152.21867168
Q92888,-0.0334,0.2356,0.0001,17777323.1681421,17952597.973126914,19297512.546640377,18507931.38895878,16742652.464367285,18031896.44956206,15932566.86936543,18537265.286254704,17517122.133253466,17231211.464030057
P40938,0.0363,0.2308,0.0001,2448234.6016884386,2607906.761065253,2509956.168745555,2611979.675023669,2514449.7473822245,2634416.860910892,2513136.8099445403,2791988.2899725903,2459182.5800880804,2472209.183628748
P80303,0.0432,0.3092,0.0001,174527767.781989,152114439.83342513,179341651.83218032,184699704.85058647,174527767.781989,163357363.91974518,180988176.26589537,172880787.7236537,178659169.52766532,186428605.19132
Q9H1B7,-0.1149,0.9149,0.0001,692749.1019993582,670006.8036173403,623925.1763376055,723661.9693502602,668534.43625932,615528.3328000105,602714.0413926524,600071.1480858095,614345.2226206126,653196.9504910223
P10155,0.0087,0.0574,0.0001,208642027.01066646,235893433.772404,199438681.5916694,229101871.03051674,229743072.60721955,217826308.70158544,227931397.7660064,223206798.65843403,214535670.2998666,213246668.21170172
P52292,0.0075,0.0422,0.0001,22048917.009859968,20116710.666818567,21152560.13093097,17847712.95240614,19474327.860603526,20597648.815802246,19027520.91312796,20894026.847446628,20271592.738774534,19256646.66956813
Q9UMF0,0.0397,0.3081,0.0001,9474737.086711626,10256036.388616769,9901264.676708544,10291629.927148657,9811860.079236034,10571801.969054896,10088489.939288223,9724007.126439044,9952338.674357988,10201130.526528012
Q9BTL3,-0.0383,0.116,0.0001,17174270.450428862,12470641.200044554,17713851.208518386,19150536.714274857,17436689.588039152,16619138.93676846,17827522.51198389,10818243.351843458,17189074.82120257,18432499.984907676
Q92974,0.0256,0.1705,0.0001,15412366.687498825,15264237.41443878,16742652.464367285,15501637.764206575,14469842.270786341,16223042.444999378,14226511.357450284,16373919.365236416,15525339.057682345,15565457.981830314
Q8IZ83,0.0318,0.2244,0.0001,23947729.271092545,25433912.444299262,23627895.980908893,25170529.843828615,25373197.468811914,27365518.954293385,24682039.074611686,23748840.466332793,23403645.097073883,25642517.281620793
