Accession,T37.0,T47.4,T51.0,T53.9,T56.8,T59.9,T62.5,T65.6,T69.0,RSD
RAB14,0.9999,1.0268,0.9755,1.1205,1.2125,1.1542,1.7265,1.2817,0.8028,0.0
RAB21,0.9999,0.7954,0.8,0.9632,0.9362,1.0423,1.6491,1.5878,0.7159,0.0
RAB35,0.9999,1.0766,0.9555,1.0303,1.1801,1.7914,2.4882,0.8623,0.2978,0.0
RAB3GAP2,0.9999,0.5494,0.1463,0.0352,0.0338,0.0892,0.056,0.0257,0.0288,0.0
RAB5A,0.9999,1.0203,0.8753,0.9964,1.1027,3.3889,4.0526,2.0283,0.6933,0.0
RAB5B,0.9999,1.018,0.9041,0.8513,1.0497,1.3122,2.0956,2.1964,1.3656,0.0
RAB5C,0.9999,0.9849,0.9333,1.0365,1.2501,1.2457,2.3099,2.2044,1.2457,0.0
RAB6A,0.9999,0.9851,0.9168,0.8758,0.8004,0.6338,0.9762,0.974,0.8484,0.0
RAB8A,0.9999,0.9004,0.7633,0.6697,0.6671,1.4274,2.078,1.5572,0.9307,0.0
RAC1,0.9999,1.0047,0.9643,1.1814,1.7674,2.4074,2.1459,0.7574,0.1755,0.0
RAC2,0.9999,0.9474,0.7431,0.6076,0.3926,0.3186,0.2733,0.1824,0.1219,0.0
RALB,0.9999,0.9947,0.9915,0.9986,1.0681,1.1778,1.4007,0.5621,0.0575,0.0
RAP1A,0.9999,0.8782,0.8269,0.919,1.0849,13.1027,13.4413,5.1606,5.1532,0.0
RAP1B,0.9999,0.902,0.9201,1.0028,0.8291,1.1801,1.7025,1.2214,1.4021,0.0
RAP2B,0.9999,0.9301,1.0924,2.5178,3.0578,2.0809,2.0857,1.8102,1.4601,0.0
RCC2,0.9999,0.9265,0.6186,0.1862,0.0359,0.0703,0.0853,0.054,0.0366,0.0
RDX,0.9999,0.9478,0.9009,0.8458,0.6824,0.3252,0.146,0.1089,0.1082,0.0
REEP5,0.9999,1.134,1.1991,1.2986,1.2764,1.821,3.1738,3.2831,3.961,0.0
RELL1,0.9999,0.7753,0.6599,0.594,0.4385,0.7106,0.4473,0.2516,0.2137,0.0
RELT,0.9999,0.5623,0.2272,0.1213,0.0504,0.0702,0.0434,0.0455,0.0522,0.0
RER1,0.9999,0.9737,0.6331,0.4289,0.4278,0.6705,0.7486,0.5748,0.4853,0.0
RHAG,0.9999,0.8775,0.8893,1.2438,1.3118,1.7508,1.498,1.2506,1.3679,0.0
RHOA,0.9999,0.9421,0.888,0.9241,0.7799,1.0448,1.5195,1.2264,0.9344,0.0
RHOG,0.9999,0.9347,0.7976,0.7501,0.8616,1.1852,0.4584,0.1397,0.1202,0.0
RHOT2,0.9999,0.7629,0.3452,0.0851,0.0608,0.0238,0.0119,0.0175,0.0159,0.0
RNASET2,0.9999,1.0367,0.8325,0.734,0.7363,0.9987,1.7791,3.2548,3.8993,0.0
RNF149,0.9999,0.8269,0.6565,0.4309,0.2434,0.297,0.3247,0.2372,0.1758,0.0
RNPEP,0.9999,0.7481,0.3033,0.1169,0.1048,0.0685,0.0552,0.056,0.0538,0.0
ROR2,0.9999,0.7692,0.4154,0.0964,0.0755,0.0843,0.0801,0.0568,0.0417,0.0
RPL15,0.9999,1.6721,1.5843,1.1766,1.3398,0.7295,0.2793,0.0988,0.0733,0.0
RPS27A,0.9999,0.6983,0.6048,0.4163,0.3482,0.4328,0.2452,0.127,0.119,0.0
RPSA,0.9999,0.9229,0.766,0.5482,0.369,0.1825,0.0975,0.0621,0.0771,0.0
RRAS2,0.9999,0.8859,0.5629,0.6894,0.8363,0.8421,0.5703,0.1766,0.0805,0.0
RTN4,0.9999,0.9397,0.7244,0.884,1.0151,1.038,2.5653,2.9598,2.5071,0.0
RTN4RL2,0.9999,0.8435,0.7512,0.7165,0.6824,0.6712,0.4138,0.2174,0.1934,0.0
SAPS3,0.9999,0.8623,0.735,0.8417,0.5655,0.1603,0.0318,0.0473,0.0385,0.0
SARS,0.9999,0.8153,0.8066,0.7094,0.3466,0.0506,0.0444,0.0406,0.0355,0.0
SCAMP3,0.9999,0.9546,0.9115,1.0105,1.021,1.2815,2.1672,2.4969,3.1437,0.0
SCARB1,0.9999,0.9484,0.8098,0.8258,0.7505,1.1101,1.1397,0.9399,0.7598,0.0
SCFD1,0.9999,0.7448,0.3071,0.1524,0.0822,0.0279,0.0163,0.0182,0.0184,0.0
SDC1,0.9999,0.9165,0.891,0.7967,0.6364,0.5558,0.5614,0.5918,0.7206,0.0
SDC3,0.9999,0.8727,0.8637,0.7332,1.0397,0.647,0.8328,0.7756,0.9871,0.0
SDC4,0.9999,0.9641,0.8446,0.6808,0.5031,0.6677,0.5439,0.5792,0.5627,0.0
SDCBP,0.9999,0.9732,0.8328,0.5979,0.5319,0.4279,0.5151,0.5175,0.5473,0.0
SELPLG,0.9999,0.9078,0.7896,0.8467,0.7672,0.9017,0.926,0.8141,0.9778,0.0
SEMA4C,0.9999,0.8551,0.7973,0.6389,0.3935,0.295,0.2859,0.1841,0.1465,0.0
SEMA4D,0.9999,0.9374,0.8652,0.8396,0.7282,0.6937,0.4632,0.333,0.3079,0.0
SEMA7A,0.9999,0.8524,0.5918,0.3837,0.2051,0.1448,0.1466,0.113,0.1158,0.0
SEPHS1,0.9999,0.9582,0.8176,0.7653,0.6613,1.0837,0.7928,0.9327,0.5417,0.0
