Accession,T37.0,T47.4,T51.0,T53.9,T56.8,T59.9,T62.5,T65.6,T69.0,RSD
CD55,0.9999,0.8093,0.7959,0.8646,0.6957,0.7653,1.4787,2.1665,1.9325,0.0
CD58,0.9999,0.7869,0.627,0.9318,0.8585,0.9428,0.7693,0.8369,0.7215,0.0
CD59,0.9999,0.7812,0.698,0.7872,0.93,1.1046,1.332,0.727,0.7295,0.0
CD63,0.9999,0.8898,0.7865,0.7631,0.6446,0.6593,1.1707,1.234,1.7262,0.0
CD69,0.9999,0.8606,0.7915,0.7803,0.7123,0.8119,0.8073,0.5022,0.3959,0.0
CD80,0.9999,0.8632,0.6687,0.5966,0.4773,0.3925,0.3136,0.174,0.1867,0.0
CD82,0.9999,0.7989,0.6851,0.5608,0.5117,0.6858,0.6622,0.4705,0.5336,0.0
CD84,0.9999,0.8674,0.6956,0.7192,0.4727,0.2399,0.2184,0.158,0.1535,0.0
CD97,0.9999,0.9703,0.8199,0.8878,0.7693,0.648,0.5712,0.3355,0.1856,0.0
CD99,0.9999,0.9408,0.8286,1.0936,1.0015,1.1702,1.1119,0.6705,0.7123,0.0
CD99L2,0.9999,0.9724,0.9842,0.9899,1.1669,3.3409,3.3414,1.9833,2.031,0.0
CDC42,0.9999,0.9346,0.7978,0.806,0.9344,1.582,2.0666,2.1192,1.2362,0.0
CDCP1,0.9999,0.8192,0.6751,0.5426,0.4695,0.4218,0.3518,0.259,0.2581,0.0
CDIPT,0.9999,0.7903,0.6268,0.4797,0.4931,0.5575,0.4144,0.1466,0.1109,0.0
CDV3,0.9999,0.9967,0.8651,0.5746,0.5445,0.4679,0.0744,0.0686,0.0803,0.0
CELSR2,0.9999,0.9311,0.5734,0.3466,0.3006,0.3494,0.3291,0.2586,0.2619,0.0
CHID1,0.9999,0.8362,0.7419,0.4953,0.3421,0.331,0.3522,0.5303,0.613,0.0
CLCN2,0.9999,1.1715,0.8498,0.8085,0.6546,0.8564,1.0508,0.6775,0.1993,0.0
CLCN3,0.9999,0.9289,0.891,0.8004,0.6889,0.5273,0.1536,0.0603,0.0803,0.0
CLDND1,0.9999,0.8679,0.8084,0.7508,0.7293,0.6759,0.5177,0.2441,0.27,0.0
CLIC1,0.9999,0.8501,0.6898,0.2085,0.0475,0.0591,0.0451,0.036,0.0249,0.0
CLIC4,0.9999,0.8649,0.5539,0.2472,0.0766,0.0477,0.0521,0.0858,0.1097,0.0
CLN3,0.9998,1.0573,1.1757,1.0538,1.203,1.3699,4.4044,8.0591,10.0339,0.0
CLNS1A,0.9999,0.83,0.6913,0.431,0.2202,0.1617,0.0772,0.0764,0.0755,0.0
CLPTM1,0.9999,0.8526,0.5504,0.2962,0.1926,0.0982,0.0793,0.0853,0.0777,0.0
CLTA,0.9999,1.6888,1.3853,0.9395,1.0002,1.2112,0.3889,0.3581,0.4126,0.0
CLTC,0.9998,1.4131,0.9302,0.0761,0.0635,0.135,0.0858,0.0469,0.0634,0.0
CMTM3,0.9999,0.6532,0.4549,0.5566,0.6072,1.2519,1.9438,1.7655,2.1107,0.0
CNN2,0.9999,0.7015,0.2693,0.097,0.071,0.0905,0.0777,0.0802,0.085,0.0
CNNM3,0.9999,0.7714,0.4868,0.1401,0.0192,0.0375,0.0301,0.0264,0.0346,0.0
CNNM4,0.9999,0.7374,0.2632,0.0208,0.0099,0.009,0.0168,0.0327,0.0333,0.0
CNPY2,0.9999,0.9096,0.926,0.8765,0.7145,0.5205,0.7304,0.8995,0.8442,0.0
COMT,0.9999,0.8663,0.5771,0.247,0.0938,0.0983,0.0567,0.0391,0.0364,0.0
COPB1,0.9999,0.8691,0.5827,0.1198,0.0358,0.0751,0.0437,0.0219,0.0238,0.0
CORO1A,0.9999,0.9266,0.2637,0.0523,0.043,0.018,0.028,0.0387,0.0609,0.0
CORO1B,0.9999,1.0482,0.7866,0.1763,0.1322,0.1155,0.0451,0.0594,0.0903,0.0
CPD,0.9999,0.9004,0.7136,0.6976,0.5613,0.3516,0.5816,0.9823,1.1212,0.0
CPNE1,0.9999,0.799,0.6237,0.209,0.1147,0.0768,0.0433,0.0585,0.0908,0.0
CREG1,0.9999,0.8864,0.7966,0.4455,0.5994,0.3108,0.5486,0.745,0.9923,0.0
CRTAP,0.9999,0.8245,0.5655,0.4114,0.3245,0.2439,0.3148,0.3264,0.3693,0.0
CS,0.9999,0.875,0.6194,0.2641,0.0905,0.0315,0.028,0.0234,0.0278,0.0
CSDE1,0.9999,0.4391,0.1556,0.0128,0.007,0.0184,0.0039,0.06,0.1309,0.0
CSK,0.9999,0.6951,0.2417,0.1561,0.1165,0.2308,0.1905,0.1834,0.1399,0.0
CTNND1,0.9999,0.36,0.1332,0.073,0.047,0.1724,0.0964,0.0844,0.0937,0.0
CTSB,0.9999,1.0912,1.0073,0.8315,0.7326,0.5995,0.9521,1.6492,2.362,0.0
CTTN,0.9999,0.9214,0.6853,0.4393,0.4239,0.8892,0.4988,0.4108,0.4095,0.0
CUL5,0.9999,0.9875,0.6893,0.2789,0.3287,0.2766,0.1514,0.1209,0.1189,0.0
CUTA,0.9999,0.9395,0.7552,0.7023,1.5821,5.7362,1.3681,0.6283,0.6326,0.0
DAG1,0.9999,0.9165,0.8243,0.8503,0.7918,0.9115,0.7954,0.51,0.3545,0.0
DBNL,0.9999,0.7225,0.3333,0.1319,0.1181,0.1517,0.1514,0.1337,0.1503,0.0
DCBLD2,0.9999,0.9066,0.7512,0.5911,0.4384,0.3468,0.293,0.2301,0.2795,0.0
DCI,0.9999,0.9889,0.945,0.8299,0.8677,1.004,1.6972,1.6741,1.7675,0.0
DDR1,0.9999,0.6563,0.2802,0.0709,0.0454,0.0149,0.0018,0.0151,0.0476,0.0
DIAPH1,0.9999,0.5733,0.202,0.0686,0.0592,0.0444,0.0245,0.0301,0.0366,0.0
DJ-1,0.9999,1.0812,0.9942,0.9466,0.7858,0.4194,0.0957,0.1069,0.0864,0.0
DLK1,0.9999,0.6463,0.481,0.3202,0.3678,0.615,0.9652,1.2041,1.4085,0.0
DNAJA1,0.9999,1.0144,0.7771,0.314,0.1834,0.1949,0.1113,0.1244,0.1455,0.0
DNAJA2,0.9999,0.8687,0.57,0.3364,0.2755,0.1476,0.1465,0.1576,0.2076,0.0
DNM2,0.9999,0.8608,0.4809,0.2679,0.187,0.1078,0.0589,0.0482,0.0412,0.0
DSC2,0.9999,0.9409,0.7423,0.5911,0.4435,0.3249,0.3354,0.3184,0.4156,0.0
DSG1,0.9999,0.6368,0.4622,0.4651,0.4352,0.231,0.1349,0.1859,0.2211,0.0
DSG2,0.9999,0.9463,0.8458,0.7538,0.3907,0.1645,0.1819,0.1949,0.216,0.0
DSTN,0.9999,0.8987,0.7066,0.4477,0.1674,0.0394,0.0229,0.0325,0.0208,0.0
ECE1,0.9999,1.0161,0.8905,0.7793,0.574,0.672,0.9486,1.207,1.3628,0.0
ECM1,0.9998,1.0951,0.8455,0.8666,1.3418,1.0002,2.6578,4.9275,5.7542,0.0
EEA1,0.9999,0.8444,0.706,0.6287,0.551,0.6086,0.5396,0.7468,0.926,0.0
EEF2,0.9999,0.9631,0.9342,0.8491,0.7676,0.4424,0.0688,0.0673,0.0759,0.0
EFNB1,0.9999,0.8733,0.6741,0.469,0.3278,0.3186,0.2794,0.2177,0.2031,0.0
