Accession,logFC,-logPval,-logAdjPval,DMSO1,DMSO2,DMSO3,DMSO4,DMSO5,MTX1,MTX2,MTX3,MTX4,MTX5
F5H0A9;Q0D2J5;Q0D2J5-2;K7EJF3;C9JMA7;K7ESF6;C9JR48;Q9UC07-2;Q0D2J5-3;Q8NDP4;Q9UC07,-0.8439,2.7337,0.9397,13905.0,38556.0,20468.0,19548.0,17674.0,5281.3,8767.7,15780.0,17650.0,17343.0
Q5SSJ5;X6RGJ2;Q5SSJ5-2;Q5SSJ5-3;B0QZK4;Q5SWC8;B0QZK8;Q5SSJ5-5;B0QZK9,0.1837,2.7265,0.9373,111650.0,126110.0,145780.0,123080.0,127250.0,143030.0,118660.0,157370.0,175910.0,149880.0
F5H7F6;F5H6X2;P10620-2;P10620,0.4055,2.7244,0.9373,11332.0,14043.0,13450.0,8933.7,11591.0,16747.0,12171.0,16989.0,19492.0,16959.0
P52701;P52701-3;P52701-4;P52701-2;A0A087WWJ1;A0A087WYT6;F8WAX8;F8W7G9;C9JH55;C9J8Y8;C9J7Y7;U3KQ72,0.1352,2.7189,0.9352,248090.0,259470.0,327290.0,279910.0,279270.0,313990.0,268770.0,326960.0,347680.0,318390.0
P63096;P63096-2;C9JPP4;C9JL77,0.2347,2.7052,0.925,56205.0,71302.0,73227.0,59711.0,60970.0,77508.0,62396.0,76946.0,91063.0,84513.0
O75367-3;O75367;O75367-2;B4DJC3;D6RCF2,0.1921,2.6901,0.9142,91308.0,98579.0,119940.0,102020.0,95940.0,125570.0,93932.0,121110.0,144400.0,114370.0
O76094-2;O76094;R4GNC1;D6RDY6,0.264,2.6878,0.9142,86950.0,93270.0,108010.0,78610.0,84712.0,114750.0,86660.0,121070.0,130830.0,110130.0
E7ET49;Q8NCG7-4;Q8NCG7;Q8NCG7-2;C9JA85;Q8NCG7-3,0.2809,2.6798,0.9128,32442.0,38395.0,39880.0,31532.0,34082.0,43380.0,34818.0,43939.0,53392.0,47582.0
O15226;O15226-2,0.1883,2.6809,0.9128,43478.0,47732.0,57557.0,50492.0,49136.0,60802.0,48443.0,57216.0,65842.0,59342.0
Q09161;X6R941;F2Z2T1,0.1041,2.6695,0.9108,186500.0,199640.0,269100.0,251740.0,220350.0,245350.0,213990.0,239860.0,284760.0,256770.0
Q9NZ63,-0.1326,2.6704,0.9108,188690.0,221370.0,259990.0,255180.0,209860.0,209680.0,197490.0,202000.0,216390.0,233280.0
