Accession,logFC,-logPval,-logAdjPval,V_log2.i._TMT_1,V_log2.i._TMT_2,V_log2.i._TMT_3,V_log2.i._TMT_4,V_log2.i._TMT_5,D_log2.i._TMT_6,D_log2.i._TMT_7,D_log2.i._TMT_8,D_log2.i._TMT_9,D_log2.i._TMT_10,D_log2.i._TMT_11
Q9DBS5,0.0214,0.0812,0.0001,192878.81476081937,222261.3292132936,188985.5768017762,236779.85521869408,209403.67766129322,204024.26436173014,222261.3292132936,199062.81097007266,246713.54357464565,225330.05074576373,182348.05933938397
Q6NVE8,-0.0076,0.0656,0.0001,13972590.763367895,14164126.737324137,14226879.88045798,15029896.613885919,14666239.497156184,14278916.374578085,14850900.1646936,14051367.818166846,14724129.828049576,14420632.319259694,13722676.7053189
Q8K0Z7,0.0095,0.0549,0.0001,654191.4352667949,661323.1703737767,627996.4987545935,603036.5344013927,620692.2884023952,608119.2292776009,616172.6257756666,626931.7920753241,644554.9872951533,669134.8295241835,662685.6877727866
Q9JHE3,0.0104,0.0606,0.0001,735019.8462605147,749598.212635858,792074.3306458103,791417.567857937,814805.5287269034,773392.5068256387,762856.3278945488,851167.848708272,783063.4523312283,740467.2352763602,783797.3051275305
E9QMI6,-0.0132,0.061,0.0001,330051.82649336196,324019.73410642426,366647.36401109083,331473.933308582,322002.10500071984,318446.4037444445,376855.5183854206,308652.3895589965,318908.0982178231,309392.1358653191,359255.9699408463
Q9DCL9,0.0108,0.0775,0.0001,44863229.5971161,42469655.365620576,38486876.65014546,42007957.73095506,43459312.738641225,44541580.303832516,45309722.81279832,43197964.03577458,42303597.712561786,41688048.2094244,38486876.65014546
Q3TDD9,-0.0087,0.0674,0.0001,4331654.257635507,4535868.980282875,4366745.33623086,4586559.694059503,4739274.168403491,4463986.007085531,4234631.082291487,4549079.522016151,4618130.626860073,4584311.952639818,4467762.214877247
Q3TJ22,0.0088,0.0684,0.0001,4512329.939740722,4463986.007085531,4501603.602439326,4508079.717876401,4705942.75476584,4794286.46995789,4711584.482996103,4621568.094129752,4629053.983153054,4366745.33623086,4281570.241004354
A0A0R4J0T8,0.0074,0.0585,0.0001,4716668.225921672,4693248.653338714,4811735.768980491,4434531.075838019,4721064.151658809,4662630.959794297,4429490.7247212,4871357.311208879,4679376.997283186,4764913.46730256,4799413.886412117
Q3TY86,-0.0334,0.1028,0.0001,96586.97049057872,80251.90157225696,99239.73543816435,111616.0096989723,77068.06337769103,87993.97012822413,107268.87405218692,86502.36024875261,99655.42174930542,83191.78726737198,80566.1162265184
Q9D404,-0.0077,0.0586,0.0001,3663264.0750233172,3531534.173657205,3737082.541232194,3662602.6499399226,3622517.0083398186,3609570.030773548,3705666.6086512213,3715730.560187744,3712477.6545762555,3419027.4328131173,3589559.6056180564
Q8BKC8,-0.0487,0.0798,0.0001,86502.36024875261,72851.29048102123,67586.36143877909,77737.29502366766,149859.10280207806,119867.05709858752,133524.1510765717,66780.09520231503,86502.36024875261,64840.917081653955,55421.72477137209
F6WZH1,0.0108,0.0523,0.0001,271332.6286534355,259335.87140127266,293540.74813694996,288194.2528866562,262796.6782545798,287619.7090452995,270254.39037909167,279039.1903111961,278635.12052165583,265958.0657714011,281729.47225963016
D3YWT1,0.0158,0.0557,0.0001,137468.48545811026,159394.64060621415,183575.12026547838,133776.85444239262,143628.8193106406,139428.07651633892,159394.64060621415,144712.29470102765,152717.1182725516,173586.1939369571,149859.10280207806
Q3V038,-0.0121,0.08,0.0001,9154157.844712177,8852647.37158725,9944329.284936432,8905255.368511846,8738346.367110515,8670217.479722211,10156482.312578924,8624602.915393636,9489785.774936257,8109604.4993563425,9228620.640161242
A0A0U1RQ07,0.0114,0.0547,0.0001,508652.14084792667,517044.30530556873,456156.85992679757,415325.96131789533,450736.5441402876,435989.947048797,489174.5649400111,495125.73332395736,490110.06260058424,467615.4955602804,463328.8824555502
E9QB01,-0.0155,0.077,0.0001,5570396.099776032,5535924.358640092,5515383.595901621,5165204.102945556,6399346.222693792,6092972.997455868,4434531.075838019,6027760.881524456,5161002.993489408,5974845.6310008885,5777538.832454239
J3QNR6,0.0067,0.0599,0.0001,11755932.759157948,11644100.257280061,11497526.169538409,11594892.479026437,11899973.79963484,11662062.026868984,11232312.397654895,11822354.362066923,11630348.16661889,12284281.279686814,11790076.10751179
B8JJ66,0.0107,0.0563,0.0001,796578.0592919382,714600.5908869237,801929.8068415992,682487.4974092479,853699.3156926957,760304.8787504464,724327.6047823714,805563.9855362365,799133.3474022726,762856.3278945488,802478.986877248
P56391,0.0074,0.0243,0.0001,22612018.706863433,20375138.735203333,20023137.927364353,21558334.330135174,12464066.143157065,22663836.47224436,19340785.85558249,17282043.471168123,20605847.9084883,18105830.964090366,19122728.066994507
Q8R050,-0.0091,0.0737,0.0001,23556700.485613257,23343611.188203752,24179462.740580447,25457685.371804226,24303961.903931115,24108245.63532047,22251227.35325149,24137685.393536907,25111150.652677193,25286540.614594173,23251133.415857594
