Accession,T40,T43,T46,T49,T52,T55,T58,T61,T64,T67,RSD
IPI00019226.1,0.9999,0.989,1.0316,0.9289,0.8498,0.7452,0.5566,0.4286,0.4027,0.288,0
IPI00019427.4,0.9999,0.9426,0.7047,0.2636,0.1553,0.078,0.0506,0.0377,0.032,0.0262,0
IPI00020008.1,0.9999,0.9219,0.9603,0.9212,0.9122,0.7533,0.5029,0.4927,0.3373,0.3392,0
IPI00020451.3,0.9999,0.9266,0.8335,0.6642,0.5581,0.3681,0.2273,0.1795,0.1657,0.1196,0
IPI00021326.4,0.9999,0.9578,0.9535,0.8969,0.8296,0.6647,0.4865,0.3387,0.1854,0.1014,0
IPI00022442.2,0.9999,0.9673,1.0058,1.0216,0.8883,0.6416,0.5009,0.4138,0.2711,0.2286,0
IPI00022477.1,0.9999,1.0055,0.9724,0.9557,0.8514,0.7202,0.6742,0.5781,0.5458,0.3806,0
IPI00022824.1,0.9999,1.0101,0.8269,0.5127,0.2569,0.126,0.0843,0.0774,0.0745,0.0616,0
IPI00024502.2,0.9999,1.0273,1.0143,0.9826,0.8543,0.8063,0.6041,0.6273,0.5713,0.441,0
IPI00025174.2,0.9999,0.9557,0.966,0.7398,0.4414,0.2489,0.1501,0.1319,0.1163,0.0848,0
IPI00025616.1,0.9999,0.9864,0.8884,0.6254,0.4036,0.2081,0.1558,0.1213,0.0984,0.0794,0
IPI00026519.1,0.9999,0.9285,0.9927,0.9807,0.7532,0.4684,0.1895,0.1574,0.1295,0.1015,0
IPI00026952.1,0.9999,1.0158,0.889,0.6077,0.3797,0.2609,0.1998,0.1807,0.1722,0.137,0
IPI00027851.2,0.9999,1.0875,0.9964,1.0095,0.8661,0.4425,0.173,0.1277,0.1104,0.0849,0
IPI00029468.1,0.9999,1.0714,1.0302,0.9584,0.7754,0.4534,0.2571,0.1467,0.0737,0.0554,0
IPI00029722.4,0.9999,1.0292,0.9735,0.8243,0.4808,0.2567,0.1475,0.1001,0.087,0.0615,0
IPI00030207.1,0.9999,0.9506,0.819,0.5011,0.2986,0.1467,0.0972,0.0835,0.0724,0.0554,0
IPI00030255.1,0.9999,0.9591,0.9778,0.878,0.6485,0.2813,0.122,0.1031,0.0879,0.0712,0
IPI00031386.2,0.9999,0.9149,0.9314,0.7198,0.445,0.2462,0.1126,0.0659,0.0537,0.0382,0
IPI00031618.3,0.9999,0.9597,0.9944,0.9802,0.9125,0.7152,0.395,0.2309,0.1622,0.113,0
IPI00032003.1,0.9999,1.1221,1.0982,1.0542,0.9157,0.7137,0.6978,0.6845,0.5479,0.4463,0
IPI00032304.1,0.9999,1.0087,0.9963,0.9514,0.6792,0.3576,0.2255,0.1653,0.1439,0.1052,0
IPI00032959.3,0.9999,0.9311,0.7953,0.455,0.3237,0.1796,0.1274,0.1041,0.0893,0.0678,0
IPI00033516.1,0.9999,1.0779,0.9928,0.6081,0.4412,0.2354,0.1525,0.1039,0.0804,0.0627,0
IPI00045550.4,0.9999,0.9881,0.9845,0.8901,0.7452,0.648,0.5398,0.4646,0.4975,0.3698,0
IPI00045917.3,0.9999,0.9548,0.9831,0.8771,0.7117,0.4394,0.184,0.1315,0.1185,0.0926,0
IPI00056499.1,0.9999,0.9461,0.6839,0.2494,0.1613,0.0815,0.0532,0.0466,0.0433,0.0359,0
IPI00059135.1,0.9999,1.0163,0.9959,0.9808,0.8307,0.7388,0.5437,0.5954,0.4068,0.3653,0
IPI00061356.3,0.9999,0.9669,0.961,0.7847,0.6714,0.4033,0.2744,0.2175,0.1862,0.1353,0
IPI00061525.3,0.9999,1.1787,0.91,0.992,0.9545,0.784,0.4007,0.1398,0.1046,0.0776,0
IPI00063827.1,0.9999,0.9605,0.9336,0.8763,0.7515,0.5557,0.366,0.1878,0.1331,0.0996,0
IPI00064767.3,0.9999,0.9531,0.9419,0.7347,0.326,0.1624,0.0892,0.0762,0.0631,0.053,0
IPI00100673.6,0.9999,0.9581,0.9397,0.9078,0.9291,0.8185,0.6877,0.4571,0.2845,0.1741,0
IPI00100933.1,0.9999,0.944,0.9719,0.9805,0.8894,0.813,0.6965,0.5974,0.3706,0.1874,0
IPI00106491.3,0.9999,0.9014,1.0486,0.8967,0.4522,0.1653,0.1023,0.0892,0.0762,0.0733,0
IPI00106642.4,0.9999,1.0009,0.9591,0.9553,0.804,0.6022,0.4704,0.3907,0.3168,0.2666,0
IPI00150269.1,0.9999,1.1732,1.1964,1.0163,0.7756,0.3471,0.1544,0.1122,0.0925,0.0723,0
IPI00152330.1,0.9999,0.9633,0.9896,0.9237,0.8661,0.4697,0.1826,0.125,0.1283,0.0967,0
IPI00152692.2,0.9999,0.9548,0.9872,1.0039,0.9525,0.8915,0.7968,0.7675,0.7448,0.4781,0
IPI00152981.1,0.9999,1.0555,0.9108,0.6337,0.317,0.1535,0.1092,0.0865,0.0754,0.0559,0
IPI00154915.1,0.9999,0.9569,0.7882,0.5339,0.3775,0.2323,0.1451,0.1187,0.1078,0.0827,0
IPI00163230.5,0.9999,1.0648,1.0659,1.1265,1.0142,0.7182,0.3534,0.1827,0.1171,0.0851,0
IPI00166132.3,0.9999,0.9838,0.9546,0.6701,0.2741,0.0999,0.0568,0.0501,0.05,0.0422,0
IPI00167861.3,0.9999,0.9927,0.9461,0.7694,0.5388,0.2992,0.1227,0.0977,0.0757,0.062,0
IPI00168877.3,0.9999,0.9778,0.9544,0.8668,0.6931,0.4163,0.2125,0.1445,0.1216,0.0742,0
IPI00171127.1,0.9999,0.9781,0.9644,0.9018,0.7998,0.7089,0.588,0.577,0.5573,0.3956,0
IPI00173346.3,0.9999,0.9855,0.9539,0.9119,0.8493,0.5682,0.2307,0.131,0.1078,0.0815,0
IPI00178072.7,0.9999,0.9643,1.0191,0.9125,0.6895,0.4431,0.3017,0.2565,0.2574,0.188,0
IPI00180781.4,0.9999,0.9398,0.797,0.4389,0.2647,0.1322,0.0938,0.0675,0.0502,0.0412,0
IPI00181881.11,0.9999,1.0468,0.9724,0.7919,0.4781,0.2276,0.1278,0.1005,0.0818,0.0586,0
IPI00184119.6,0.9999,1.0223,0.9525,0.8718,0.8235,0.6173,0.4326,0.2542,0.1785,0.1253,0
IPI00187011.4,0.9999,1.0341,1.1112,1.0098,0.8241,0.8159,0.6543,0.6503,0.6055,0.3866,0
IPI00215979.3,0.9999,0.9657,0.9904,0.9701,0.88,0.6863,0.329,0.201,0.1492,0.0653,0
IPI00216053.1,0.9999,0.9617,0.939,0.8715,0.7863,0.6254,0.3854,0.32,0.1995,0.2351,0
IPI00217157.5,0.9999,0.9714,0.92,0.7384,0.4178,0.1989,0.0987,0.089,0.0714,0.0568,0
IPI00217272.7,0.9999,0.8261,0.4305,0.2651,0.186,0.0839,0.0527,0.0463,0.0342,0.0295,0
IPI00218962.3,0.9999,0.9928,0.9984,1.0006,0.8097,0.5301,0.2347,0.1517,0.114,0.0837,0
IPI00219358.7,0.9999,0.9423,0.8311,0.668,0.4285,0.1712,0.0929,0.0769,0.0649,0.0519,0
IPI00220014.2,0.9999,1.0529,1.0112,1.0017,0.8959,0.7388,0.7392,0.6838,0.6184,0.4809,0
IPI00256376.6,0.9999,1.0293,0.9107,0.8744,0.7496,0.5429,0.3337,0.2304,0.1104,0.0797,0
IPI00289031.5,0.9999,0.9581,0.9496,0.8827,0.8462,0.6275,0.3391,0.1768,0.1516,0.1054,0
IPI00289601.10,0.9999,1.1193,0.9992,0.9224,0.6862,0.3149,0.1266,0.0973,0.0791,0.0628,0
IPI00290192.1,0.9999,0.9779,0.7567,0.6244,0.4897,0.238,0.1025,0.0793,0.0654,0.0521,0
IPI00291893.4,0.9999,1.0187,1.0381,1.0608,0.9453,0.575,0.1714,0.1209,0.0924,0.0688,0
IPI00292601.1,0.9999,0.9761,0.8728,0.5333,0.2356,0.1228,0.0825,0.0664,0.0559,0.0413,0
IPI00292975.4,0.9999,1.0422,1.0068,0.8886,0.7321,0.55,0.4737,0.4677,0.3687,0.2886,0
IPI00293307.1,0.9999,1.0274,0.924,0.7482,0.561,0.3232,0.2392,0.1968,0.1835,0.132,0
IPI00294739.1,0.9999,0.7928,0.5865,0.4331,0.3669,0.2245,0.1268,0.0901,0.0573,0.0402,0
IPI00296191.1,0.9999,0.9898,0.9997,0.8695,0.6628,0.3589,0.123,0.0987,0.0872,0.07,0
IPI00296907.4,0.9999,0.9544,0.9476,0.9224,0.8189,0.7395,0.5343,0.4385,0.2648,0.1025,0
IPI00296927.4,0.9999,1.0119,0.9868,0.9596,0.8547,0.6778,0.5342,0.2973,0.1413,0.0914,0
IPI00297572.5,0.9999,0.7307,0.4263,0.2893,0.2427,0.1493,0.0869,0.0749,0.0622,0.0512,0
IPI00298199.2,0.9999,0.9167,0.6411,0.407,0.2949,0.1603,0.1107,0.0854,0.0818,0.0604,0
IPI00298258.4,0.9999,0.8979,0.6508,0.3803,0.2534,0.1605,0.1021,0.084,0.0664,0.0472,0
IPI00298308.7,0.9999,0.9212,0.7173,0.5024,0.3407,0.1744,0.1189,0.0961,0.0744,0.0626,0
IPI00299554.3,0.9999,0.8279,0.7464,0.4853,0.5027,0.3311,0.3042,0.2768,0.3272,0.2112,0
IPI00301618.6,0.9999,0.9105,0.7492,0.4656,0.2439,0.1005,0.0754,0.067,0.0606,0.052,0
IPI00303568.3,0.9999,1.0018,0.8098,0.5914,0.346,0.1394,0.1057,0.0868,0.0738,0.0643,0
IPI00304232.1,0.9999,1.0348,0.9691,1.0182,0.9346,0.7853,0.8257,0.6779,0.4604,0.1831,0
IPI00305978.4,0.9999,1.0215,0.9217,0.741,0.2863,0.1183,0.0731,0.0686,0.0537,0.0429,0
IPI00306207.4,0.9999,1.0981,0.8561,0.5814,0.4008,0.1908,0.133,0.0962,0.0822,0.0636,0
IPI00306791.2,0.9999,0.9576,1.0066,0.914,0.8769,0.7143,0.5147,0.3801,0.2605,0.1605,0
IPI00328815.2,0.9999,0.9655,0.8703,0.6257,0.3654,0.1935,0.1157,0.0829,0.0738,0.0501,0
IPI00328842.1,0.9999,0.9399,0.7809,0.4359,0.2861,0.171,0.1121,0.0863,0.0847,0.0627,0
IPI00328987.3,0.9999,1.135,0.998,0.5523,0.2765,0.131,0.0858,0.0823,0.0609,0.0507,0
IPI00329385.4,0.9999,1.0146,0.9401,0.6562,0.2511,0.1117,0.0654,0.1277,0.0583,0.0425,0
IPI00332097.3,0.9999,0.9739,0.9848,0.8761,0.85,0.5624,0.216,0.1443,0.1163,0.0938,0
IPI00335946.4,0.9999,0.9028,0.5806,0.2966,0.2526,0.1416,0.0652,0.054,0.0624,0.0462,0
IPI00336008.1,0.9999,1.0729,1.0548,1.0385,0.8247,0.3527,0.1312,0.0759,0.0601,0.0486,0
IPI00337315.1,0.9999,1.0568,0.9911,0.9396,0.8764,0.7722,0.6739,0.6348,0.5678,0.4027,0
IPI00337426.1,0.9999,1.0464,1.0491,0.9911,0.9619,0.8159,0.6776,0.681,0.5507,0.22,0
IPI00374208.2,0.9999,0.9547,0.9425,0.8772,0.5472,0.2765,0.1441,0.1106,0.0974,0.0685,0
