Accession,T40,T43,T46,T49,T52,T55,T58,T61,T64,T67,RSD
IPI00103013.2,0.9999,0.8441,0.5446,0.3939,0.3689,0.2577,0.1102,0.0847,0.0852,0.0757,0
IPI00103023.1,0.9999,1.0716,0.9297,0.8874,0.6986,0.2914,0.135,0.096,0.085,0.0509,0
IPI00103047.1,0.9999,0.9975,1.0111,0.9803,0.9028,0.6418,0.222,0.1147,0.0935,0.0698,0
IPI00103104.3,0.9999,0.8561,0.7289,0.6004,0.4503,0.2023,0.1394,0.1176,0.0899,0.0273,0
IPI00103165.3,0.9999,0.8473,0.8274,0.7544,0.6287,0.4422,0.1801,0.095,0.0829,0.0445,0
IPI00103397.2,0.9999,0.9524,0.9074,0.6891,0.5757,0.3725,0.3235,0.2756,0.204,0.1765,0
IPI00103440.8,0.9999,12.5613,0.8687,0.7647,0.5597,0.4374,0.3357,0.1286,0.129,0.1285,0
IPI00103752.2,0.9999,0.9579,1.0722,0.8752,0.6854,0.4117,0.1578,0.1067,0.0945,0.0693,0
IPI00103867.1,0.9999,0.9659,0.931,0.8356,0.8411,0.6505,0.5406,0.4909,0.4703,0.3487,0
IPI00104450.2,0.9999,0.8443,0.9907,0.9079,0.8417,0.7277,0.5375,0.3757,0.219,0.1251,0
IPI00106573.6,0.9999,0.9661,0.7458,0.4086,0.2536,0.1306,0.0831,0.0633,0.0547,0.0471,0
IPI00106663.2,0.9999,0.7978,0.8164,0.7275,0.7024,0.5114,0.2407,0.1956,0.2051,0.0557,0
IPI00107502.1,0.9999,1.0135,0.7829,0.4109,0.3612,0.2351,0.1972,0.1042,0.0638,0.0641,0
IPI00107719.8,0.9999,1.2484,1.1903,1.3258,1.1207,0.7448,0.1913,0.0723,0.044,0.0617,0
IPI00144003.2,0.9999,0.9206,0.8285,0.686,0.5142,0.3854,0.2565,0.258,0.1977,0.1551,0
IPI00145799.1,0.9999,0.9841,0.7243,0.4252,0.2684,0.1639,0.1092,0.0878,0.07,0.0332,0
IPI00148061.3,0.9999,1.0476,1.033,1.0164,0.9934,0.8797,0.8537,0.7047,0.4821,0.2431,0
IPI00150881.3,0.9999,1.0131,1.0166,0.744,0.7946,0.6308,0.3631,0.3199,0.3622,0.2901,0
IPI00152220.3,0.9999,0.9542,0.8928,0.7913,0.6365,0.4064,0.2472,0.1748,0.1339,0.0989,0
IPI00152241.3,0.9999,0.9186,0.9281,0.7591,0.808,0.5814,0.3979,0.3314,0.3192,0.2358,0
IPI00152251.4,0.9999,1.0653,0.8764,0.7963,0.7944,0.6123,0.3425,0.3414,0.3406,0.2274,0
IPI00152253.3,0.9999,0.9845,1.0082,0.9613,0.9423,0.9022,0.6185,0.5045,0.3856,0.3166,0
IPI00152308.4,0.9999,1.2168,0.7796,1.3858,0.8023,0.781,0.5782,0.8485,0.7429,0.5469,0
IPI00152311.4,0.9999,1.1454,0.943,0.9788,0.8344,0.4931,0.3748,0.26,0.2101,0.1617,0
IPI00152331.4,0.9999,13.2264,0.8817,0.4941,0.7978,0.7742,0.4524,0.4566,0.4215,0.4166,0
IPI00152344.1,0.9999,0.966,0.94,0.9999,0.9681,0.7974,0.4059,0.1051,0.0349,0.0333,0
IPI00152517.8,0.9999,0.904,0.8486,0.5686,0.5551,0.3604,0.2237,0.2073,0.1863,0.1804,0
IPI00152542.1,0.9999,1.2447,0.8607,0.6403,0.4331,0.1404,0.1067,0.0838,0.0656,0.0614,0
IPI00152564.2,0.9999,0.9821,0.8808,0.7839,0.7536,0.5803,0.4422,0.2868,0.2369,0.1621,0
IPI00152653.3,0.9999,55.5678,0.608,1.5353,1.4037,2.0675,1.0048,1.4914,0.3674,0.6005,0
IPI00152667.3,0.9999,0.8837,0.7893,0.5696,0.4062,0.2248,0.1244,0.0901,0.0731,0.0421,0
IPI00152863.4,0.9999,0.9407,0.9221,0.8607,0.736,0.6099,0.2845,0.1878,0.1506,0.1078,0
IPI00154533.9,0.9999,0.959,0.818,0.5236,0.3398,0.1698,0.1111,0.0963,0.0756,0.0617,0
IPI00154590.6,0.9999,0.9244,0.7775,0.5513,0.451,0.2637,0.1641,0.1521,0.1145,0.1038,0
IPI00157176.1,0.9999,0.8838,0.7845,0.506,0.5748,0.342,0.19,0.1012,0.11,0.0893,0
IPI00157358.1,0.9999,0.838,0.8256,0.6892,0.5429,0.4417,0.27,0.2497,0.1515,0.137,0
IPI00158992.2,0.9999,0.8253,0.5279,0.3105,0.2214,0.1245,0.0791,0.0548,0.0503,0.0465,0
IPI00159322.4,0.9999,0.6757,1.1755,0.5333,0.6251,0.294,0.2413,0.2053,0.2394,0.1473,0
IPI00160340.2,0.9999,0.8176,0.7481,0.5343,0.5205,0.3569,0.1951,0.1843,0.127,0.0968,0
IPI00160421.3,0.9999,1.4188,1.537,1.0175,0.8404,0.4479,0.3667,0.2972,0.297,0.2758,0
IPI00160538.2,0.9999,1.0496,0.8495,0.8138,0.6872,0.4418,0.2592,0.2173,0.1952,0.1572,0
IPI00162088.1,0.9999,0.9938,0.7903,0.6533,0.3692,0.2255,0.1687,0.1225,0.1004,0.1167,0
IPI00162207.8,0.9999,0.8832,0.7243,0.6115,0.5737,0.3871,0.2893,0.2641,0.1767,0.0883,0
IPI00162744.1,0.9999,0.9407,0.6885,0.5791,0.4485,0.2831,0.2293,0.2355,0.1479,0.1024,0
IPI00163729.7,0.9999,0.9271,0.8645,0.6983,0.565,0.3946,0.2585,0.2585,0.2198,0.1581,0
IPI00164336.1,0.9999,0.8041,0.872,0.6587,0.6559,0.5462,0.2834,0.1844,0.1718,0.135,0
IPI00164610.4,0.9999,0.9838,0.8587,0.9677,0.8757,0.8948,0.5289,0.5066,0.4387,0.3383,0
IPI00164719.11,0.9999,1.0806,1.0032,0.8292,0.8183,0.5568,0.2954,0.23,0.1888,0.1687,0
IPI00164831.4,0.9999,1.0684,0.8309,0.7025,0.3706,0.1831,0.088,0.0575,0.0664,0.0438,0
IPI00165931.7,0.9999,0.9727,0.7632,0.8514,0.5812,0.3657,0.1243,0.1175,0.0656,0.0703,0
IPI00165981.1,0.9999,0.9678,0.825,0.5049,0.3675,0.204,0.1022,0.0886,0.1109,0.0621,0
IPI00166291.1,0.9999,0.9314,0.8843,0.9004,0.7815,0.5712,0.3275,0.2956,0.2377,0.1903,0
IPI00166657.3,0.9999,0.9326,0.6636,0.3171,0.2352,0.1214,0.1379,0.0905,0.0632,0.0572,0
IPI00166858.3,0.9999,0.9624,0.9835,0.8264,0.5691,0.2947,0.1742,0.1504,0.1151,0.0751,0
IPI00166861.3,0.9999,0.8983,0.9453,0.7441,0.7671,0.5564,0.353,0.3038,0.2364,0.1691,0
IPI00167237.4,0.9999,0.9914,0.9275,0.8698,0.792,0.5705,0.4303,0.2554,0.1311,0.0905,0
IPI00167447.8,0.9999,1.0406,0.7254,0.7107,0.6228,0.5363,0.3744,0.3346,0.2562,0.1989,0
IPI00167762.2,0.9999,0.9395,0.7397,0.4555,0.3525,0.1819,0.1002,0.0558,0.1036,0.052,0
IPI00168122.1,0.9999,0.4316,0.5332,0.5472,0.3944,0.2393,0.3146,0.3975,0.0992,0.1077,0
IPI00168162.4,0.9999,0.9064,0.9593,0.9974,0.9177,0.991,0.6175,0.6887,0.5126,0.3277,0
IPI00168209.3,0.9999,1.011,0.8039,0.5615,0.2738,0.1389,0.1227,0.0743,0.0644,0.0784,0
IPI00168463.2,0.9999,0.9033,0.4452,0.243,0.1777,0.1103,0.0514,0.0734,0.0483,0.0522,0
IPI00168554.1,0.9999,0.9816,0.9753,0.8455,0.7842,0.5614,0.3606,0.2895,0.2566,0.2071,0
IPI00168581.3,0.9999,1.1481,0.736,0.32,0.2311,0.1845,0.1453,0.0967,0.0909,0.0446,0
IPI00168604.2,0.9999,29.8892,0.7459,1.0688,0.8163,0.8613,1.0083,0.6659,0.7946,0.5969,0
IPI00168609.1,0.9999,0.9363,0.947,0.7223,0.6879,0.5818,0.418,0.3798,0.3208,0.2464,0
IPI00168769.7,0.9999,0.864,0.9196,0.788,0.9584,0.6617,0.2822,0.2958,0.2877,0.191,0
IPI00168839.1,0.9999,1.0555,0.9667,0.8322,0.8182,0.6729,0.2467,0.194,0.1129,0.1418,0
IPI00168878.1,0.9999,0.9744,1.0352,0.8812,0.6565,0.3611,0.2175,0.2257,0.2075,0.2408,0
IPI00169259.1,0.9999,1.0221,0.9943,0.9522,0.83,0.6251,0.5241,0.5497,0.3735,0.3342,0
IPI00169267.3,0.9999,1.3042,1.1015,0.8322,0.6579,0.3597,0.2352,0.2214,0.2044,0.1862,0
IPI00169294.3,0.9999,0.9457,0.7718,0.5246,0.3941,0.2586,0.2279,0.1912,0.1799,0.1483,0
IPI00169387.1,0.9999,1.0881,1.0367,0.9097,0.7924,0.6938,0.5647,0.4881,0.3915,0.3176,0
IPI00170678.1,0.9999,0.9394,0.8851,0.7517,0.6212,0.4178,0.3242,0.322,0.2802,0.1957,0
IPI00170744.1,0.9999,1.0389,1.0988,0.8391,0.9183,0.825,0.6687,0.7325,0.5843,0.5268,0
IPI00170805.1,0.9999,0.8713,0.6848,0.5558,0.3887,0.1556,0.1183,0.0564,0.0503,0.0327,0
IPI00170877.2,0.9999,0.9275,0.7432,0.498,0.4442,0.3444,0.1641,0.14,0.1232,0.0902,0
IPI00170914.1,0.9999,0.9216,0.8867,0.6854,0.4849,0.2028,0.0826,0.0753,0.0587,0.0443,0
IPI00171117.5,0.9999,1.0439,0.9649,0.6847,0.4888,0.3687,0.2898,0.2151,0.1594,0.1053,0
IPI00171440.2,0.9999,0.8945,0.9701,0.827,0.7474,0.4295,0.0838,0.0874,0.0282,0.0378,0
IPI00171516.2,0.9999,0.9847,0.9558,0.833,0.9933,0.7239,0.4937,0.4265,0.3622,0.2581,0
IPI00171626.3,0.9999,0.9506,0.7425,0.5314,0.3973,0.2909,0.1828,0.177,0.1241,0.1685,0
IPI00171771.3,0.9999,1.3125,1.2575,1.1508,0.9866,0.4674,0.2792,0.2059,0.2364,0.1225,0
IPI00171779.3,0.9999,1.0242,0.885,0.4574,0.2797,0.1147,0.0751,0.07,0.0725,0.0532,0
IPI00174125.3,0.9999,0.8809,0.9274,0.5964,0.4384,0.2147,0.0851,0.0935,0.0678,0.0669,0
IPI00174438.2,0.9999,1.0294,1.006,0.7333,0.5293,0.2299,0.221,0.2122,0.1792,0.1203,0
IPI00174853.6,0.9999,0.7345,0.9538,0.7044,0.7546,0.4739,0.3736,0.2458,0.2322,0.049,0
IPI00175079.3,0.9999,0.9896,0.8253,0.9828,0.8961,0.5522,0.6568,0.35,0.2606,0.2955,0
IPI00175096.1,0.9999,0.9334,0.9234,0.6545,0.3346,0.1554,0.0705,0.0607,0.0506,0.0352,0
IPI00175793.2,0.9999,1.0098,1.0011,0.9809,0.8461,0.7191,0.462,0.4428,0.3346,0.2349,0
IPI00177428.1,0.9999,1.0732,0.9759,1.0679,0.8856,0.6261,0.6197,0.528,0.3404,0.3219,0
IPI00177827.4,0.9999,1.0392,0.9777,0.6237,0.6104,0.4311,0.3176,0.2182,0.3351,0.2721,0
IPI00178743.4,0.9999,0.8844,0.9088,0.7923,0.7837,0.6528,0.5244,0.5131,0.5185,0.3433,0
IPI00179757.6,0.9999,0.7492,0.4768,0.2251,0.1811,0.155,0.0163,0.0113,0.0268,0.0538,0
IPI00180681.6,0.9999,0.9507,0.7946,0.6701,0.583,0.3639,0.3262,0.2448,0.2386,0.1719,0
IPI00180730.1,0.9999,0.9673,0.8012,0.5926,0.361,0.1658,0.084,0.0699,0.0461,0.0374,0
IPI00181166.2,0.9999,1.1262,0.7299,0.6183,0.5296,0.2362,0.1898,0.1438,0.0526,0.124,0
IPI00182126.3,0.9999,0.9211,0.9905,0.9273,0.7133,0.5004,0.2974,0.278,0.2315,0.1896,0
IPI00182903.1,0.9999,1.1869,0.9126,1.0348,0.9342,0.6521,0.9741,0.7678,0.6779,0.5001,0
IPI00183821.8,0.9999,0.9343,1.0009,0.6338,0.6458,0.15,0.1605,0.1579,0.06,0.0433,0
IPI00184180.3,0.9999,0.8931,0.8352,0.7363,0.686,0.4237,0.3195,0.257,0.2881,0.257,0
IPI00184777.2,0.9999,1.0864,0.9889,0.8473,0.6417,0.3717,0.2532,0.1388,0.0754,0.077,0
IPI00185742.1,0.9999,1.1403,1.0459,0.7657,0.4642,0.2358,0.1222,0.1128,0.0884,0.0867,0
IPI00187110.4,0.9999,0.968,0.9692,0.8855,0.9157,0.8095,0.2623,0.2053,0.1586,0.1209,0
IPI00215719.6,0.9999,0.9234,0.7734,0.5561,0.5363,0.2827,0.2324,0.2185,0.2856,0.8232,0
IPI00215952.4,0.9999,0.9497,0.8506,0.6523,0.4775,0.2968,0.1924,0.1358,0.1094,0.0904,0
IPI00215998.5,0.9999,1.2556,1.2894,1.2653,1.273,0.9032,0.8562,0.9079,0.897,0.8128,0
IPI00216136.1,0.9999,0.9371,0.9594,0.8555,0.9461,0.8005,0.8062,0.7305,0.7705,0.3798,0
IPI00216142.5,0.9999,0.8453,0.5978,0.4283,0.3275,0.1706,0.1051,0.0713,0.0612,0.0525,0
IPI00216204.4,0.9999,1.2129,0.9178,0.9055,0.7496,0.344,0.0981,0.0877,0.034,0.0631,0
IPI00216308.5,0.9999,1.0836,0.881,0.7664,0.7035,0.6123,0.4533,0.4704,0.4155,0.6563,0
IPI00216694.3,0.9999,0.8308,0.7819,0.9857,0.8109,0.6699,0.4997,0.3918,0.6347,0.339,0
IPI00216737.3,0.9999,1.0971,0.7857,0.3929,0.2643,0.1274,0.1231,0.0945,0.0741,0.0671,0
IPI00216886.4,0.9999,0.9389,0.8837,0.8108,0.695,0.5719,0.4823,0.4312,0.3928,0.2501,0
IPI00217018.2,0.9999,0.9142,0.4762,0.2349,0.1546,0.09,0.0582,0.0536,0.0421,0.0376,0
IPI00217023.2,0.9999,0.5515,0.633,0.4996,0.4942,0.361,0.0498,0.046,0.1579,0.0682,0
IPI00217056.2,0.9999,0.8945,0.6134,0.3625,0.2816,0.1521,0.115,0.0972,0.0711,0.0652,0
IPI00217240.1,0.9999,0.9386,0.7316,0.5035,0.3609,0.2234,0.1021,0.0816,0.0419,0.0561,0
IPI00217261.3,0.9999,104.4228,0,1.1322,0.1517,0.2144,2.0433,0.4622,0.1695,0.1226,0
IPI00217283.5,0.9999,0.9287,0.9492,0.8068,0.7108,0.4482,0.2421,0.1876,0.1539,0.113,0
IPI00217631.5,0.9999,1.018,0.9262,0.8819,0.7966,0.6609,0.4782,0.3731,0.2814,0.1735,0
IPI00217652.4,0.9999,1.0801,0.9988,0.9879,0.816,0.5043,0.2621,0.23,0.139,0.1366,0
IPI00217687.3,0.9999,0.2341,0.5908,0.1861,0.7502,0.3497,0.178,0.129,0.2217,0.1581,0
IPI00217759.2,0.9999,0.9672,0.9673,0.8583,0.5474,0.2568,0.1103,0.1095,0.1001,0.0712,0
IPI00217773.2,0.9999,0.79,0.9124,0.7529,0.7535,0.8529,0.6708,0.6003,0.5469,0.3362,0
IPI00217810.1,0.9999,1.1315,1.0908,1.1235,0.8734,0.8574,0.4745,0.6027,0.401,0.2374,0
IPI00217811.9,0.9999,1.1123,0.9131,0.8509,0.9414,0.638,0.4815,0.3058,0.1728,0.1128,0
IPI00217812.1,0.9999,1.0137,0.8353,0.7145,0.7605,0.5448,0.318,0.2572,0.1797,0.0951,0
IPI00217918.1,0.9999,0.8886,0.9527,0.7439,0.6032,0.4857,0.294,0.2634,0.1945,0.1806,0
IPI00217949.12,0.9999,1.0339,0.9936,0.9996,0.8444,0.6012,0.3396,0.1911,0.1222,0.0728,0
IPI00217970.1,0.9999,0.6864,0.8101,0.8176,0.6757,0.579,0.4392,0.3307,0.2079,0.1694,0
IPI00218054.2,0.9999,0.993,0.9867,0.8434,0.6791,0.4499,0.3116,0.2424,0.1849,0.1602,0
IPI00218095.2,0.9999,2.7511,0.7529,0.6131,0.6437,0.5323,0.4661,0.4482,0.284,0.2749,0
IPI00218144.3,0.9999,1.0666,0.9899,1.0023,0.9261,0.7966,0.558,0.54,0.3554,0.3125,0
IPI00218258.6,0.9999,1.4105,1.2265,0.9585,0.879,0.6067,0.3357,0.3338,0.3819,0.2451,0
IPI00218349.2,0.9999,0.9665,0.9181,0.5733,0.3045,0.1489,0.0844,0.0654,0.0603,0.0587,0
IPI00218463.3,0.9999,1.0177,0.973,0.7261,0.6508,0.4086,0.3042,0.2741,0.2088,0.2604,0
IPI00218501.2,0.9999,0.9083,0.7562,1.0207,0.806,0.7459,0.374,0.1941,0.1446,0.1125,0
IPI00218597.6,0.9999,1.0009,0.9467,0.685,0.3222,0.106,0.1133,0.0847,0.1129,0.0458,0
IPI00218803.3,0.9999,0.961,0.9441,0.974,0.838,0.6922,0.5481,0.4489,0.3844,0.2807,0
IPI00218848.5,0.9999,1.0158,0.6402,0.6748,0.6058,0.5615,0.3945,0.2528,0.2435,0.5222,0
IPI00218852.3,0.9999,0.9917,0.7695,0.5033,0.3642,0.2142,0.2048,0.1034,0.095,0.0774,0
IPI00218858.1,0.9999,0.9103,0.912,0.777,0.4595,0.3159,0.114,0.0958,0.0855,0.0674,0
IPI00218916.3,0.9999,1.0164,0.9759,0.8854,0.7237,0.5215,0.2476,0.2012,0.1131,0.0894,0
IPI00218924.5,0.9999,1.0499,0.9346,0.7497,0.8047,0.541,0.441,0.3414,0.3047,0.2605,0
IPI00219078.5,0.9999,1.1082,1.0205,0.863,0.655,0.6202,0.1237,0.3781,0.4028,0.7635,0
IPI00219110.7,0.9999,0.8573,0.9405,0.7137,0.5164,0.4431,0.2825,0.2644,0.2725,0.172,0
IPI00219160.3,0.9999,1.2726,1.5088,1.0612,0.6302,0.4009,0.1617,0.1073,0.1221,0.4544,0
IPI00219173.2,0.9999,0.9753,0.8884,0.7117,0.6023,0.5522,0.4688,0.4052,0.3176,0.1769,0
IPI00219299.3,0.9999,0.8775,0.9064,0.7985,0.6412,0.4089,0.2422,0.2379,0.1851,0.1148,0
IPI00219568.4,0.9999,1.0131,0.9986,1.0896,0.5712,0.1397,0.0538,0.0662,0.0432,0.0593,0
IPI00220063.5,0.9999,1.1688,0.9346,0.9338,0.791,0.5271,0.4576,0.4581,0.4044,0.4006,0
IPI00220308.1,0.9999,0.8817,0.9089,0.6566,0.3682,0.1475,0.0924,0.0776,0.0531,0.0366,0
IPI00220409.3,0.9999,1.014,0.9128,0.8025,0.6756,0.4212,0.1864,0.1004,0.089,0.0661,0
IPI00220416.3,0.9999,1.0705,0.9979,0.905,0.833,0.6592,0.5834,0.5513,0.5019,0.4073,0
IPI00220493.5,0.9999,0.9123,1.0159,0.9805,0.9873,0.8419,0.6467,0.5722,0.3593,0.3074,0
IPI00220739.3,0.9999,1.097,0.9699,0.8465,0.775,0.4681,0.3798,0.2808,0.2318,0.1782,0
IPI00220770.2,0.9999,1.052,1.0588,1.0599,0.9502,0.7092,0.6224,0.5258,0.4169,0.2006,0
IPI00220835.7,0.9999,1.153,1.2588,0.9465,1.137,0.928,0.4694,0.4288,0.4684,1.2802,0
IPI00220981.1,0.9999,1.0652,0.9139,0.7068,0.8667,0.6803,0.4506,0.6039,1.5108,0.6681,0
IPI00221232.9,0.9999,0.7838,0.8977,0.856,0.7309,0.5253,0.3443,0.3116,0.2574,0.2567,0
IPI00237011.5,0.9999,0.9119,0.9059,0.8522,0.6015,0.2575,0.1497,0.084,0.066,0.0622,0
IPI00237671.9,0.9999,1.0031,1.2769,1.2348,1.3991,1.2295,1.3279,1.3514,1.299,1.1645,0
IPI00239815.9,0.9999,0.9252,0.8475,0.6149,0.4943,0.2798,0.1517,0.1332,0.1067,0.0878,0
IPI00248126.8,0.9999,1.0411,1.1294,0.9606,0.9928,0.8158,0.5354,0.4316,0.3222,0.1143,0
IPI00250316.1,0.9999,1.0274,0.9044,0.8652,0.6441,0.5262,0.3092,0.205,0.1695,0.1521,0
IPI00253050.2,0.9999,1.2349,1.0414,1.0613,1.1101,1.0206,0.7951,0.7879,0.8412,0.563,0
IPI00254338.2,0.9999,1.1888,1.1129,0.8953,0.7014,0.4066,0.3722,0.2819,0.2564,0.212,0
IPI00254484.3,0.9999,0.9323,0.8653,0.7521,0.5655,0.3791,0.2697,0.2233,0.1998,0.1566,0
IPI00255885.1,0.9999,0.2958,0.582,0.2326,1.2022,0.6769,0.0735,0.0225,0.0658,0.024,0
IPI00260755.7,0.9999,1.8334,1.1313,1.1012,0.6125,0.2891,0.281,0.2144,0.1698,0.0928,0
IPI00289034.3,0.9999,10.6641,0.752,0.751,0.7284,0.6069,0.4487,0.4382,0.3439,0.2322,0
IPI00289086.3,0.9999,0.7007,1.079,0.6983,0.7242,0.3406,0.2577,0.2353,0.2441,0.2057,0
IPI00289667.3,0.9999,1.1705,1.0663,0.9506,0.7532,0.4061,0.3001,0.2005,0.1772,0.1316,0
IPI00289866.6,0.9999,1.1209,0.8996,0.736,0.7092,0.4684,0.2805,0.1433,0.1916,0.0629,0
IPI00290198.3,0.9999,0.9,1.0052,1.0215,0.8753,0.8102,0.7078,0.6364,0.4741,0.3017,0
IPI00290337.8,0.9999,0.9517,0.8088,0.5743,0.3111,0.1845,0.107,0.0785,0.0728,0.0532,0
IPI00290459.2,0.9999,1.5408,0.9021,0.6138,0.5421,0.4126,0.2223,0.2057,0.1224,0.095,0
IPI00290547.6,0.9999,0.7311,0.7305,0.6135,0.6024,0.4301,0.2454,0.2368,0.2355,0.1588,0
IPI00291544.3,0.9999,1.0388,0.9588,0.7144,0.7023,0.506,0.338,0.2454,0.2706,0.1486,0
IPI00291751.6,0.9999,1.072,0.8933,0.7505,0.6341,0.3623,0.2941,0.2293,0.2018,0.1752,0
IPI00291755.6,0.9999,1.2436,0.878,0.6698,0.5442,0.3269,0.1889,0.1613,0.1797,0.3022,0
IPI00291796.2,0.9999,0.9492,0.6176,0.5,0.6365,0.8463,0.4142,0.469,0.4778,0.1712,0
IPI00291972.2,0.9999,1.0224,0.5304,0.3181,0.2332,0.1218,0.0706,0.0642,0.0384,0.0294,0
IPI00292208.4,0.9999,1.5443,0.7142,0.4768,0.4794,0.3028,0.1851,0.1782,0.1638,0.2503,0
IPI00292269.2,0.9999,0.7357,0.691,0.6444,0.7492,0.5343,0.3265,0.2174,0.2615,0.1517,0
IPI00292326.5,0.9999,0.1804,0.5574,0.1271,0.2741,0.0764,0.0271,0.0223,0.0302,0.0098,0
IPI00292530.1,0.9999,1.0338,0.9743,0.976,0.8378,0.5545,0.4148,0.2514,0.2322,0.135,0
IPI00292657.3,0.9999,1.0821,0.9891,0.9395,0.6563,0.2858,0.1522,0.1238,0.1141,0.0852,0
IPI00292693.3,0.9999,0.8441,0.8304,0.616,0.46,0.2242,0.1514,0.087,0.1005,0.1202,0
IPI00292787.6,0.9999,0.7281,0.3426,0.1703,0.1328,0.0598,0.0687,0.1046,0.0837,0.0757,0
IPI00292917.4,0.9999,1.0491,0.7285,0.3364,0.3058,0.1052,0.0862,0.0658,0.0649,0.0525,0
IPI00293000.2,0.9999,1.2767,0.9103,0.8092,0.7462,0.5119,0.3852,0.3747,0.2651,0.1784,0
IPI00293086.2,0.9999,0.7942,0.8311,0.7528,0.5651,0.4198,0.2163,0.203,0.1877,0.1448,0
IPI00293427.1,0.9999,1.0374,0.933,0.8307,0.7313,0.5356,0.431,0.3571,0.2634,0.1878,0
IPI00293946.5,0.9999,0.9299,0.8191,0.6422,0.5687,0.3791,0.3014,0.2519,0.1893,0.1861,0
IPI00294065.6,0.9999,0.9621,0.9467,0.7849,0.7523,0.7336,0.5214,0.5365,0.502,0.3816,0
IPI00294241.2,0.9999,0.9985,0.9875,0.9322,0.8957,0.7204,0.4191,0.1058,0.0624,0.0509,0
IPI00294495.5,0.9999,0.9589,0.9846,1.0182,0.9482,0.8829,0.6838,0.4532,0.1819,0.0973,0
IPI00294635.1,0.9999,0.7371,0.8443,0.6893,0.5436,0.4857,0.3607,0.3173,0.4223,0.3641,0
IPI00294680.5,0.9999,0.9506,0.8723,0.7186,0.6923,0.5985,0.4747,0.4521,0.3222,0.2173,0
IPI00294911.1,0.9999,0.9296,0.7238,0.5234,0.3448,0.1573,0.1134,0.0873,0.0756,0.1112,0
IPI00294946.3,0.9999,3.3883,0.6087,0.5117,0.3965,0.2673,0.1972,0.124,0.1186,0.1058,0
IPI00295737.4,0.9999,1.0403,0.9813,0.908,0.7741,0.6029,0.3023,0.1383,0.0996,0.0796,0
IPI00296099.6,0.9999,0.9622,0.8084,0.7349,0.6495,0.4468,0.2529,0.1886,0.1662,0.1197,0
IPI00296165.6,0.9999,0.9168,0.8993,0.7959,0.6116,0.3942,0.3083,0.2463,0.2273,0.1574,0
IPI00296190.4,0.9999,1.1231,0.9913,0.9458,0.8274,0.5548,0.4112,0.3439,0.3663,0.6082,0
IPI00296197.2,0.9999,0.9805,0.9351,0.8148,0.6214,0.4053,0.2649,0.1983,0.1801,0.1397,0
IPI00296563.3,0.9999,0.8283,0.5113,0.3592,0.2595,0.1455,0.0709,0.0515,0.0348,0.0431,0
IPI00296668.9,0.9999,1.2024,1.0156,1.0175,1.0435,0.903,0.6867,0.6683,0.601,0.404,0
IPI00296713.4,0.9999,0.8389,1.015,0.8458,0.7178,0.5519,0.3372,0.3208,0.202,0.1649,0
IPI00296736.6,0.9999,0.8168,0.732,0.5889,0.5105,0.3142,0.1802,0.2397,0.0842,0.0367,0
IPI00297208.6,0.9999,0.5484,1.0859,0.4388,0.6372,0.1969,0.0853,0.0847,0.0579,0.0247,0
IPI00297265.1,0.9999,1.0899,0.9801,0.919,0.7331,0.4202,0.2039,0.1412,0.1425,0.1172,0
IPI00297427.1,0.9999,1.5154,1.7976,1.4268,1.2306,1.6607,0.8402,1.2383,0.9174,0.4248,0
IPI00297473.2,0.9999,0.9214,0.9245,0.7543,0.6363,0.3527,0.1965,0.1648,0.1532,0.1185,0
IPI00297646.4,0.9999,0.9023,0.9594,0.9732,0.9703,0.9762,0.8694,0.7548,0.8034,0.6119,0
IPI00297659.3,0.9999,0.7379,0.6378,0.4721,0.5443,0.3887,0.2083,0.1536,0.095,0.0742,0
IPI00297694.3,0.9999,1.0421,1.0349,0.9295,0.9277,0.9703,0.8159,0.8112,0.8061,0.6764,0
IPI00297714.2,0.9999,1.0975,1.0068,0.8923,0.8173,0.655,0.4482,0.389,0.3166,0.2085,0
IPI00297845.4,0.9999,0.9915,0.8567,0.5748,0.3206,0.18,0.0815,0.0389,0.0222,0.0408,0
IPI00297860.1,0.9999,0.7795,0.5888,0.422,0.4072,0.2094,0.116,0.1425,0.098,0.0829,0
IPI00297900.4,0.9999,0.9664,0.9933,0.8732,0.9086,0.7465,0.5123,0.501,0.4526,0.3096,0
IPI00298828.3,0.9999,1.0022,1.0323,1.1048,0.8552,0.7512,0.6353,0.5433,0.5032,0.4229,0
IPI00298971.1,0.9999,0.9793,0.9061,0.8908,0.8372,0.5905,0.3216,0.2654,0.2145,0.1454,0
IPI00299158.1,0.9999,0.8762,0.8041,0.8299,0.8011,0.621,0.4457,0.3937,0.3535,0.4704,0
IPI00299169.4,0.9999,0.9684,1.0129,0.7896,0.7495,0.4681,0.3825,0.3794,0.3495,0.2166,0
IPI00299182.1,0.9999,0.7977,0.6085,0.4241,0.3787,0.2003,0.1297,0.0818,0.0844,0.0644,0
IPI00300078.6,0.9999,1.0332,0.9036,0.5621,0.4167,0.1879,0.1095,0.0847,0.0723,0.0616,0
IPI00300341.5,0.9999,0.9589,0.9159,0.9228,0.8148,0.5486,0.2227,0.148,0.1081,0.0974,0
IPI00300501.4,0.9999,1.0403,0.9344,0.8784,0.7309,0.505,0.4132,0.3963,0.3679,0.3122,0
IPI00301021.3,0.9999,1.0781,0.9998,0.8633,0.7075,0.5995,0.3793,0.4048,0.2805,0.5117,0
