Accession,T37.0,T44.0,T47.6,T50.5,T53.4,T56.5,T59.1,T62.2,T65.6,RSD
SLC5A6,0.9999,1.0472,0.9716,0.7839,0.7216,0.6341,0.471,0.3341,0.1934,0.0
SLC6A6,0.9999,0.9719,1.0413,0.9515,0.9402,0.7209,0.7905,0.5677,0.3683,0.0
SLC7A1,0.9999,0.9941,1.0232,1.0115,1.0029,0.9194,0.8684,0.5407,0.3717,0.0
SLC7A11,0.9999,1.3521,1.3332,1.3576,1.3546,1.7223,1.5238,0.4147,0.3923,0.0
SLC7A5,0.9999,1.1146,1.153,0.9636,0.985,0.88,0.7942,0.4825,0.3118,0.0
SLC7A6,0.9999,1.0393,1.0059,1.0374,1.086,0.8594,0.9661,0.4943,0.2961,0.0
SLC9A1,0.9999,0.9959,1.0105,0.7658,0.533,0.3903,0.2601,0.2315,0.2119,0.0
SLC9A6,0.9999,1.2383,1.3298,1.3376,1.2685,1.1028,1.2144,1.5472,2.9667,0.0
SLCO4A1,0.9999,0.9471,1.4156,0.9773,0.8628,0.9905,0.6853,0.6133,0.5478,0.0
SNAP23,0.9999,1.1647,1.2575,1.4331,1.8429,2.393,4.8712,3.3782,2.7728,0.0
SNX8,0.9999,1.5932,1.9975,1.4633,1.387,1.205,0.6834,0.2972,0.125,0.0
SORL1,0.9999,1.2221,1.3424,1.2497,1.1015,0.8504,0.658,0.4706,0.4846,0.0
SPG20,0.9999,1.2755,0.9557,0.3446,0.1009,0.0833,0.0499,0.1401,0.1614,0.0
SPINT1,0.9999,1.0828,1.1008,0.9782,0.9051,0.6921,0.5968,0.462,0.3646,0.0
SPN,0.9999,1.2842,1.988,1.3281,1.054,2.0063,2.0933,1.8717,1.633,0.0
SPPL2B,0.9999,0.9024,0.9655,0.8151,0.7936,0.6993,0.6686,0.5563,0.5103,0.0
SPTBN1,0.9999,1.0478,1.1046,0.8759,0.3776,0.3201,0.2226,0.1611,0.1942,0.0
STEAP3,0.9999,1.0538,1.34,1.0979,0.666,0.2078,0.1741,0.0695,0.0835,0.0
STOM,0.9999,1.0948,1.0931,0.8649,0.7833,0.7956,0.7277,0.7866,0.6766,0.0
STOML2,0.9999,1.1646,1.1633,0.9375,0.8072,0.6938,0.6362,0.6822,0.6437,0.0
STX7,0.9999,1.1252,1.1917,0.8911,0.4933,0.6003,0.3777,0.9824,1.0476,0.0
STXBP3,0.9999,1.3597,0.9076,0.2466,0.14,0.1392,0.1253,0.1834,0.1046,0.0
SUCLG1,0.9999,1.3678,1.317,0.6763,0.2784,0.1669,0.198,0.2252,0.177,0.0
SUCNR1,0.9999,1.0252,0.9514,0.7759,0.6475,0.5081,0.5042,1.0237,2.6449,0.0
SYPL1,0.9999,1.1055,1.3497,1.2557,1.2367,1.0953,1.3284,1.4889,2.4963,0.0
TAGLN2,0.9998,1.1738,1.2851,1.0058,0.5704,0.4302,0.4628,0.1991,0.1655,0.0
TBCD,0.9999,0.9744,0.956,0.4981,0.1328,0.0246,0.0996,0.0728,0.1093,0.0
TFRC,0.9999,1.1935,1.2524,1.4633,1.3325,1.2295,1.3347,1.5564,1.5801,0.0
TGFB1,0.9999,1.1135,1.1297,1.0408,0.8616,0.6823,0.6042,0.484,0.4715,0.0
TGFBR1,0.9999,1.0778,0.9472,0.3362,0.087,0.0674,0.0563,0.063,0.0729,0.0
TGOLN2,0.9999,1.3031,1.2988,1.4109,1.4491,1.373,1.4856,2.3671,4.3223,0.0
THBD,0.9999,1.0344,0.9682,0.8548,0.7104,0.5675,0.5742,0.6442,0.5195,0.0
TLN1,0.9999,1.3046,1.2199,0.3974,0.1701,0.114,0.0837,0.124,0.1601,0.0
TLR2,0.9999,1.0371,0.9512,0.7727,0.6444,0.4059,0.2173,0.1665,0.1468,0.0
TM9SF2,0.9999,1.3326,1.3146,0.9908,1.0386,1.0771,0.7184,0.6636,0.6257,0.0
TMED1,0.9999,1.1479,1.196,0.9705,0.8456,0.5631,0.3405,0.264,0.3199,0.0
TMED10,0.9999,1.1238,1.1869,1.1774,1.0231,0.632,0.4029,0.3113,0.3416,0.0
TMEM2,0.9999,0.9138,1.0616,0.9993,0.9743,0.5936,0.5845,0.4905,0.4286,0.0
TMEM206,0.9999,0.9675,1.139,1.1265,1.1467,0.8419,0.7153,0.3982,0.405,0.0
TMEM219,0.9999,1.4905,1.309,1.0338,1.1059,0.9874,0.8891,1.7705,2.8193,0.0
