Accession,T37.0,T44.0,T47.6,T50.5,T53.4,T56.5,T59.1,T62.2,T65.6,RSD
HNRNPM,0.9999,0.5987,0.2871,0.1429,0.09,0.0828,0.1056,0.1075,0.0996,0.0
HSD17B10,0.9999,1.2402,1.3569,0.9011,0.834,0.5262,0.1182,0.0427,0.0264,0.0
HSD17B11,0.9999,1.2724,1.2648,0.8525,0.6775,0.4316,0.364,0.3948,0.4224,0.0
HSP90AA1,0.9999,1.3281,1.3151,0.6696,0.2828,0.1847,0.1661,0.101,0.0853,0.0
HSP90AB1,0.9999,1.3812,1.3465,0.7225,0.1392,0.065,0.0606,0.0468,0.0518,0.0
HSP90B1,0.9999,1.193,1.2632,1.068,0.8208,0.6108,0.5407,0.3202,0.175,0.0
HSPA5,0.9999,1.0108,1.0308,0.7797,0.663,0.5431,0.5497,0.4351,0.3176,0.0
HSPA8,0.9999,0.9434,0.8826,0.5011,0.4644,0.4065,0.2471,0.1039,0.1333,0.0
HSPB1,0.9999,1.1293,0.8292,0.4666,0.3611,0.3433,0.3812,0.5758,0.701,0.0
HSPD1,0.9999,1.1385,1.1782,1.0974,0.983,0.7282,0.5537,0.3017,0.0361,0.0
HSPG2,0.9999,1.505,1.3409,0.8392,0.9418,0.7318,0.2636,0.165,0.3082,0.0
ICAM1,0.9999,1.0383,1.0089,0.8671,0.848,0.7265,0.6742,0.5102,0.4188,0.0
ICAM2,0.9999,0.9973,0.9547,0.8101,0.4802,0.219,0.2187,0.2215,0.2602,0.0
ICAM3,0.9999,1.0352,0.9722,0.8896,0.7919,0.6759,0.5956,0.4476,0.3301,0.0
IFNAR1,0.9999,0.9925,1.0927,0.7651,0.6051,0.372,0.3844,0.4003,0.2919,0.0
IFNGR1,0.9999,1.1288,1.0569,0.852,0.7759,0.6841,0.6394,0.5233,0.3381,0.0
IGF1R,0.9999,0.6358,0.2973,0.1957,0.1239,0.1311,0.1554,0.1429,0.1253,0.0
