,Accession,Score,Rep1pVal (-log10),Rep1delta_Tm,Rep1Group1_R2,Rep1Group2_R2,Rep1Group1_Tm,Rep1Group2_Tm,Rep1min_Slope,Rep2pVal (-log10),Rep2delta_Tm,Rep2Group1_R2,Rep2Group2_R2,Rep2Group1_Tm,Rep2Group2_Tm,Rep2min_Slope
481,SYPL1,0.0,,,0.0,0.0,68.99,37.0,-0.0,,,0.0,0.0,37.0,37.0,0.0
480,SUCLG2,0.0,0.389,0.44,0.993,0.998,51.98,52.42,-0.189,0.357,0.23,0.997,0.991,51.52,51.75,-0.213
479,SUCLG1,0.0,0.648,1.09,0.988,0.999,50.56,51.65,-0.188,0.469,0.64,0.997,0.996,51.18,51.82,-0.17
478,STXBP3,0.0,0.492,-0.42,0.994,0.993,49.74,49.32,-0.145,0.429,-0.52,1.0,1.0,48.84,48.32,-0.168
477,STXBP2,0.0,0.593,0.97,0.991,0.971,48.97,49.94,-0.117,,,0.999,0.796,48.05,39.34,-0.836
476,STX7,0.0,,,0.0,0.0,68.99,37.0,-0.0,,,0.0,0.0,37.0,37.0,0.0
475,STRAP,0.0,1.362,2.28,0.932,0.908,55.48,57.76,-0.037,0.574,0.97,0.974,0.966,54.33,55.3,-0.051
474,STOML2,0.0,,,0.191,0.241,68.72,68.71,-0.794,,,0.156,0.075,68.64,68.99,-0.796
473,STOM,0.0,,,0.0,0.0,68.97,68.99,-0.0,,,0.0,0.0,37.0,37.0,0.0
472,STIM1,0.0,0.645,-0.78,0.99,0.994,52.45,51.67,-0.1,0.371,-0.3,0.994,0.999,52.76,52.46,-0.141
471,STEAP3,0.0,0.443,-0.29,0.961,0.961,51.2,50.91,-0.085,0.323,0.09,0.983,0.955,53.7,53.79,-1.051
470,SPPL2B,0.0,,,0.856,0.752,62.2,63.29,-0.035,,,0.861,0.797,61.89,61.3,-0.03
469,SPN,0.0,,,0.088,0.011,68.99,68.99,-0.007,,,0.215,0.126,68.99,68.99,-0.007
468,SPINT1,0.0,0.926,1.62,0.921,0.91,60.1,61.72,-0.041,0.328,0.11,0.941,0.9,61.67,61.78,-0.04
497,TMEM33,0.0,1.673,-2.37,0.952,0.921,55.46,53.09,-0.04,2.56,-4.38,0.91,0.932,53.66,49.28,-0.076
499,TNFRSF10A,0.0,1.962,-2.7,0.98,0.985,53.2,50.5,-0.074,0.39,0.36,0.891,0.888,52.82,53.18,-0.042
466,SNX6,0.0,0.335,0.27,0.999,0.994,49.41,49.68,-0.133,0.417,0.46,0.993,0.99,48.93,49.39,-0.135
500,TNFRSF10B,0.0,1.527,-2.19,0.948,0.953,58.73,56.54,-0.033,1.128,2.26,0.994,0.976,57.0,59.26,-0.037
529,ZDHHC5,0.0,,,0.0,0.041,68.99,68.99,-0.155,,,0.0,0.011,68.99,65.77,-0.612
528,YWHAH,0.0,0.471,0.67,0.999,0.997,52.57,53.24,-0.126,0.331,-0.14,0.999,0.997,52.7,52.56,-0.124
527,YIPF3,0.0,,,0.0,0.0,68.99,37.0,-0.138,,,0.0,0.0,68.99,68.99,-0.453
