,Accession,Score,pVal (-log10),Rep1delta_SH,Rep2delta_SH,Rep1Group1_R2,Rep1Group2_R2,Rep1Group1_SH,Rep1Group2_SH,Rep1min_Slope,Rep2Group1_R2,Rep2Group2_R2,Rep2Group1_SH,Rep2Group2_SH,Rep2min_Slope
14,ADAM15,0.495,0.528,0.118,0.32,0.988,0.98,4.254,4.372,-0.049,0.996,0.976,4.755,4.593,-0.066
64,ATP7A,0.495,0.499,0.07,0.153,0.998,0.998,2.512,2.518,-0.136,0.998,0.997,2.591,2.744,-0.145
496,TMEM30A,0.495,0.586,0.175,0.335,0.963,0.954,5.406,5.231,-0.138,0.946,0.957,5.153,5.476,-0.115
117,CLIC4,0.494,0.5,0.101,0.123,0.998,0.996,3.358,3.271,-0.169,0.996,0.994,3.181,3.058,-0.128
183,FLNB,0.492,0.496,0.19,0.39,0.998,0.998,3.205,3.395,-0.2,0.999,0.998,3.369,3.759,-0.221
25,ANK1,0.492,0.621,0.447,0.223,0.892,0.998,1.889,1.95,-0.802,0.997,0.991,1.961,2.184,-0.085
173,FAM171A1,0.492,0.502,0.165,0.387,0.996,0.995,3.564,3.451,-0.085,0.993,0.993,3.533,3.919,-0.081
35,AP2B1,0.492,0.506,0.391,0.197,0.989,0.997,2.901,3.126,-0.151,0.995,0.999,2.958,3.061,-0.244
384,RHOT2,0.489,0.505,0.162,0.057,0.987,0.997,2.422,2.568,-0.158,0.999,0.997,2.326,2.329,-0.133
466,SNX6,0.489,0.495,0.103,0.124,0.999,0.994,2.262,2.33,-0.133,0.993,0.99,2.162,2.285,-0.135
246,ITGA5,0.488,0.678,0.326,0.227,0.939,0.903,6.601,6.275,-0.037,0.906,0.914,6.056,6.272,-0.035
524,VIM,0.481,0.512,0.473,0.259,0.984,0.984,3.85,3.617,-0.211,0.996,0.995,3.737,3.863,-0.19
226,ICAM5,0.48,0.515,0.118,0.33,0.983,0.982,5.42,5.402,-0.034,0.996,0.992,5.447,5.745,-0.037
234,IL10RB,0.479,0.49,0.142,0.089,0.994,0.995,3.481,3.623,-0.088,0.992,0.991,3.437,3.526,-0.085
272,LRRC8A,0.473,0.479,0.26,0.5,0.997,0.997,3.566,3.377,-0.113,0.999,0.999,3.207,3.707,-0.107
412,SLC12A2,0.472,0.577,0.203,0.438,0.957,0.945,4.166,4.364,-0.088,0.96,0.967,4.15,4.583,-0.099
308,NOTCH1,0.472,0.48,0.07,0.169,0.995,0.997,2.143,2.188,-0.126,0.994,0.996,2.091,2.26,-0.134
15,ADAM17,0.466,0.501,0.113,0.109,0.973,0.991,4.371,4.266,-0.058,0.979,0.986,4.238,4.129,-0.073
241,IQGAP1,0.465,0.472,0.085,0.16,0.995,0.998,3.031,3.066,-0.471,0.996,0.997,3.03,3.19,-1.119
103,CD80,0.464,0.62,0.194,0.056,0.922,0.939,5.406,5.47,-0.033,0.988,0.99,4.715,4.658,-0.041
336,PLXNA1,0.461,0.475,0.185,0.379,0.992,0.993,3.163,3.05,-0.096,0.995,0.998,3.207,2.831,-0.094
271,LRRC4B,0.458,0.483,0.317,0.08,0.989,0.985,4.947,4.63,-0.053,0.997,0.993,4.052,4.129,-0.047
405,SEMA7A,0.457,0.464,0.158,0.094,0.997,0.994,3.501,3.659,-0.082,0.999,0.998,3.557,3.584,-0.086
214,HNRNPM,0.457,0.458,0.113,0.143,0.999,0.999,1.756,1.65,-0.124,1.0,1.0,1.79,1.654,-0.135
431,SLC26A2,0.456,0.467,0.095,0.154,0.994,0.995,2.873,2.968,-0.139,0.99,0.992,2.95,3.104,-0.175
114,CLCN3,0.454,0.59,0.471,0.178,0.956,0.918,5.515,5.25,-0.098,0.965,0.969,5.369,5.298,-0.095
409,SIGLEC10,0.452,0.479,0.13,0.11,0.992,0.979,4.045,4.058,-0.054,0.976,0.976,4.291,4.309,-0.056
453,SLC5A6,0.451,0.539,0.023,0.636,0.969,0.944,5.587,5.577,-0.048,0.973,0.979,5.458,6.045,-0.067
479,SUCLG1,0.45,0.462,0.354,0.2,0.988,0.999,2.695,3.028,-0.188,0.997,0.996,2.923,3.09,-0.17
175,FAM62A,0.446,0.448,0.108,0.157,0.998,0.999,1.929,1.909,-0.128,0.999,0.999,2.227,2.164,-0.116
484,TES,0.442,0.445,0.278,0.261,0.998,0.998,3.16,3.345,-0.2,0.993,0.999,3.179,3.236,-0.203
283,MCAM,0.441,0.602,0.22,0.438,0.934,0.917,6.53,6.75,-0.02,0.944,0.903,6.619,7.057,-0.029
163,EPCAM,0.44,0.457,0.099,0.451,0.99,0.991,4.867,4.966,-0.04,0.997,0.989,4.76,5.199,-0.039
258,KTN1,0.439,0.446,0.144,0.396,0.993,0.998,2.926,2.974,-0.108,0.999,0.994,2.91,3.306,-0.103
156,EIF5,0.438,0.452,0.278,0.016,0.989,0.996,2.525,2.661,-1.183,0.998,0.996,2.595,2.59,-0.176
434,SLC29A2,0.437,0.557,0.357,0.269,0.929,0.953,5.831,6.126,-0.231,0.932,0.926,5.968,6.237,-0.233
3,ABCC1,0.429,0.491,0.156,0.421,0.976,0.957,4.081,4.187,-0.096,0.976,0.984,4.045,4.439,-0.111
520,VASN,0.428,0.474,0.19,0.373,0.974,0.976,5.179,5.003,-0.038,0.981,0.961,5.897,5.662,-0.052
251,ITGB3,0.427,0.479,0.108,0.459,0.978,0.966,5.652,5.723,-0.05,0.991,0.954,6.205,6.664,-0.056
457,SLC7A1,0.425,0.611,0.672,0.528,0.957,0.872,6.894,6.356,-0.067,0.883,0.819,6.445,6.849,-0.078
444,SLC38A5,0.424,0.506,0.322,0.266,0.963,0.95,5.295,5.576,-0.092,0.957,0.958,5.322,5.588,-0.085
277,M11S1,0.424,0.433,0.525,0.248,0.992,0.997,3.37,3.709,-0.099,0.998,0.995,3.587,3.339,-0.082
88,CCT3,0.423,0.43,0.088,0.368,0.997,0.995,4.548,4.568,-0.145,0.994,0.981,4.583,4.261,-0.135
508,TRPV2,0.421,0.487,0.126,0.36,0.967,0.962,4.204,4.155,-0.136,0.983,0.994,4.201,4.491,-0.208
237,IL17RC,0.42,0.437,0.29,0.243,0.997,0.983,2.98,3.247,-0.096,0.984,0.995,3.036,3.23,-0.098
126,COMT,0.419,0.422,0.139,0.147,0.999,0.997,3.158,3.042,-0.135,0.998,0.997,3.108,3.028,-0.118
312,NRD1,0.417,0.425,0.205,0.318,0.995,0.996,3.088,3.25,-0.231,0.997,0.998,2.616,2.864,-0.463
34,AP2A1,0.41,0.418,0.353,0.062,0.993,0.999,2.844,3.066,-0.156,0.999,0.991,2.934,2.882,-0.131
62,ATP6V1B2,0.407,0.609,0.428,0.573,0.861,0.949,4.734,4.547,-0.06,0.86,0.913,4.686,4.719,-0.088
51,ATP2A2,0.407,0.418,0.041,0.249,0.99,0.997,3.183,3.146,-0.184,0.999,0.987,3.208,2.959,-0.201
30,ANXA2,0.407,0.409,0.063,0.236,0.999,0.999,3.647,3.627,-0.171,0.993,0.984,3.549,3.313,-0.182
71,BLVRB,0.402,0.404,0.274,0.231,0.999,0.999,2.696,2.735,-0.21,0.998,0.996,2.48,2.645,-0.192
295,MRC2,0.401,0.428,0.087,0.195,0.988,0.98,5.233,5.164,-0.081,0.962,0.94,4.997,4.908,-0.069
